category,case_stem,orig_entity_a,orig_entity_b,context_sentence_a,context_sentence_b,llm_decision,final_entity_a,final_entity_b,rationale,orig_concept_a,orig_concept_b,orig_depth_a,orig_depth_b
Per-case same string,case_085.txt,loss of vision,loss of vision,"A posterior vitreous detachment (PVD) is usually not very symptomatic, producing myodesopsias but no loss of vision or pain; however, some PVDs are of the hemorrhagic type, by traction of the vessels, producing a vitreous hemorrhage that would cause loss of vision.","The patient is a middle-aged individual with a history of cataract surgery two years ago, presenting with a sudden and painless loss of vision in the affected eye.",KEEP,loss of vision,loss of vision,,40031005,40031005,12,12
Per-case same string,case_011.txt,decrease,decrease,"We would manage the patient with gabapentin and corticosteroids (true answer 4); we would not decrease the dose of morphine (false answer 3), and in the meantime we would ask for a CT scan (or abdominal MRI) to subsequently assess the plexus block (answers 1 and 2 for future management).","Given the resistance to morphine and the advanced stage of the patient's cancer, options 1 (Perform computed axial tomography and evaluate nerve compression since it is neuropathic pain) and 3 (Decrease the dose of morphine as it is ineffective in this type of pain) can be ruled out.",KEEP,decrease,decrease,,260370003,260370003,5,5
Per-case same string,case_011.txt,ct scan,ct scan,"We would manage the patient with gabapentin and corticosteroids (true answer 4); we would not decrease the dose of morphine (false answer 3), and in the meantime we would ask for a CT scan (or abdominal MRI) to subsequently assess the plexus block (answers 1 and 2 for future management).","Decreasing the dose of morphine would likely exacerbate the patient's pain, and a CT scan might not reveal the exact site of nerve compression.",KEEP,ct scan,ct scan,,129679001,129679001,10,10
Per-case same string,case_027.txt,edema,edema,"There is no doubt, they are not meeting the diagnostic criteria of Kawasaki disease (fever of several days of evolution, exanthema, conjunctival injection, red lips, raspberry tongue, edema of acral parts and adenopathy).","Given the 6-day fever evolution, conjunctival injection, rash that confluences but not scarlatiniform, rash on the trunk and genital area, erythema with edema in hands and feet, and unilateral cervical lymphadenopathy, the most likely clinical diagnosis is Kawasaki disease, particularly due to the absence of typical m…",KEEP,edema,edema,"Both 'edema' in the human and model excerpts refer to the same clinical entity (swelling) in this case, and comparing SNOMED depth would be meaningful for a read-off of different specificity on the same taxonomic branch.",79654002,79654002,6,6
Per-case same string,case_044.txt,puberty,puberty,"It seems that they want to present us with precocious puberty (or premature telarche) but they do not provide any analytical data and the ultrasound data are ambiguous (we should assume that by a small uterus they are referring to a prepubertal uterus, but they do not provide any data on ovarian size).","While it is essential to consider alternative conditions that may cause precocious puberty, such as gonadotropin-secreting tumors, central precocious puberty, or McCune-Albright syndrome, given the absence of other signs typically associated with these conditions, they seem less likely in this case.",KEEP,puberty,puberty,Both 'puberty' in human and model excerpts refer to the same clinical entity in this case.,18991001,18991001,10,10
Per-case same string,case_045.txt,rhinorrhea,rhinorrhea,"Both the characteristics of the case and the answers suggest that it is a trigemino-autonomic headache (intense, periocular pain with lacrimation and rhinorrhea).","The presented case describes a 40-year-old woman experiencing recurrent, brief episodes of intense left periocular pain accompanied by tearing and rhinorrhea.",KEEP,rhinorrhea,rhinorrhea,,6696001,6696001,11,11
Per-case same string,case_099.txt,behavioral,behavioral,"There are behavioral variants, but in the MIR they usually want you to think of other types of dementias in the face of behavioral symptoms.","While behavioral symptoms and memory loss are both characteristic of AD, mood changes and cognitive decline often precede noticeable behavioral changes or motor symptoms.",KEEP,behavioral,behavioral,"Both 'behavioral' in human and model excerpts refer to the same clinical entity, namely behavioral symptoms associated with dementia, making a comparison of SNOMED depth meaningful.",166001,166001,8,8
Per-case same string,case_125.txt,schistocytes,schistocytes,"Not only thrombocytopenia but also headache, schistocytes, high LDH and high bilirubin.","Given the patient's presentation (headache, asthenia, petechiae, elevated reticulocyte count, schistocytes on blood smear, and elevated LDH and bilirubin), along with the normal coagulation studies, the most likely diagnosis is **disseminated intravascular coagulation (DIC)**.",KEEP,schistocytes,schistocytes,"Both strings refer to the same clinical entity, schistocytes, which is a specific type of red blood cell fragment indicative of microangiopathic hemolytic anemia, such as disseminated intravascular coagulation (DIC).",726510009,726510009,6,6
Per-case same string,case_008.txt,muscular,muscular,The biopsy should be muscular and not subcutaneous.,"The electroytoencephalogram (Option 2) is not typically indicated in this case, as the presenting symptoms are primarily cutaneous and muscular rather than neurological.",KEEP,muscular,muscular,,263816006,263816006,7,7
Per-case same string,case_115.txt,goiter,goiter,"Answer 2 incorrect: Graves' disease is characterized by hyperthyroidism and one or more of the following features: goiter, exophthalmos and pretibial myxedema.","However, the absence of a goiter and low thyroglobulin levels, along with the scintigraphy revealing no uptake in the thyroid region, suggest an exogenous source of thyroid hormones, which is consistent with Factitious thyrotoxicosis.",SUBSTITUTE,hyperthyroidism,goiter,"While both refer to Graves' disease, the human excerpt mentions hyperthyroidism as a characteristic, while the model excerpt focuses on the goiter as a feature. To compare SNOMED depth, it's more appropriate to compare hyperthyroidism (a broader concept) with goiter (a narrower concept).",3716002,3716002,11,11
Per-case same string,case_042.txt,short stature,short stature,An adolescent with pubertal delay and short stature; nothing more.,"In this case, a 15-year-old female presenting with delayed menarche and short stature, the primary diagnostic approach should be a karyotype analysis (Option 4).",KEEP,short stature,short stature,Both 'short stature' in human and model excerpts refer to the same clinical entity in this case.,277266007,277266007,8,8
Per-case same string,case_085.txt,endophthalmitis,endophthalmitis,Option 1 is strongly discarded because endophthalmitis typically presents with a lot of pain.,The most likely diagnosis in this case is post-surgical endophthalmitis (1).,KEEP,endophthalmitis,endophthalmitis,Both 'endophthalmitis' in human and model excerpts refer to the same clinical entity in this case.,1847009,1847009,18,18
Per-case same string,case_044.txt,small uterus,small uterus,"It seems that they want to present us with precocious puberty (or premature telarche) but they do not provide any analytical data and the ultrasound data are ambiguous (we should assume that by a small uterus they are referring to a prepubertal uterus, but they do not provide any data on ovarian size).","The normal external genitalia, small uterus on ultrasonography, and bone age matching the chronological age further support this diagnosis.",KEEP,small uterus,small uterus,,289624004,289624004,13,13
Per-case same string,case_088.txt,endometrial cytology,endometrial cytology,Endometrial cytology is performed blindly and has a large number of false negatives.,"While endometrial cytology (option 2) can be helpful, it may have a lower sensitivity in postmenopausal women due to atrophic changes.",KEEP,endometrial cytology,endometrial cytology,,468999002,468999002,9,9
Per-case same string,case_121.txt,painless,painless,"This is a woman with abrupt, painless and severe loss (she only sees the movement of the hands) of vision in one eye.","Given the patient's symptoms, which include sudden and painless unilateral vision loss, and the presence of other systemic issues such as anorexia, weight loss, and musculoskeletal discomfort, an acute ophthalmic condition is suspected.",KEEP,painless,painless,,255350008,255350008,5,5
Per-case same string,case_054.txt,implant,implant,We are dealing with an infection associated with an implant (intramedullary nail) and pseudoarthrosis of the tibia fracture (absence of union after 11 months).,"The patient's prolonged, unresolved infection and the presence of suppuration in the wound area suggest that the current implant may be contributing to the ongoing infection, necessitating its removal.",KEEP,implant,implant,"Both 'implant' strings refer to the same clinical entity in this case, specifically the intramedullary nail, making a comparison of SNOMED depth meaningful.",40388003,40388003,5,5
Per-case same string,case_002.txt,measures,measures,"Knowing that we have taken measures of sleep hygiene, we have explored what provokes him not to sleep, and he does not sleep nine hours and still wants to sleep more,...then the less harmful answer is the 2.","Based on the vignette, the patient is an elderly woman presenting with insomnia that has persisted despite sleep hygiene measures.",KEEP,measures,measures,,367346004,367346004,4,4
Per-case same string,case_033.txt,patient,patient,"In addition, it is only 3 weeks since the contact, so our patient is probably in the ""window period"" during which serological techniques may be unprofitable.","However, the window period for seroconversion (the time between infection and the appearance of antibodies detectable by standard serological tests) can extend up to 12 weeks, making it possible for the patient to still have a negative test result despite the high likelihood of infection.",KEEP,patient,patient,Both 'patient' references in the excerpts refer to the same clinical entity in this case.,116154003,116154003,5,5
Per-case same string,case_070.txt,allogeneic bone marrow transplantation,allogeneic bone marrow transplantation,"Therefore, we are inclined towards allogeneic bone marrow transplantation if he has an HLA-identical sibling, since this is the treatment of choice according to the protocol of the Spanish Society of Hematology and Hemotherapy for patients under 40 years of age with severe bone marrow aplasia.","Allogeneic bone marrow transplantation from an HLA-identical sibling (Option 3) is a viable option, especially when a suitable donor is available.",KEEP,allogeneic bone marrow transplantation,allogeneic bone marrow transplantation,,58390007,58390007,11,11
Per-case same string,case_033.txt,hiv,hiv,A simple question if we are clear about the diagnostic process of HIV.,"The clinical presentation of a 20-year-old girl with acute fever, cervical lymphadenopathy, and a skin rash, coupled with a recent high-risk sexual encounter, strongly suggests an infectious etiology, primarily HIV infection.",KEEP,hiv,hiv,"Both 'hiv' in human and model excerpts refer to the same clinical entity, HIV, and comparing SNOMED depth would be meaningful for a read-off of different specificity on the same taxonomic branch.",19030005,19030005,12,12
Per-case same string,case_044.txt,precocious,precocious,"It seems that they want to present us with precocious puberty (or premature telarche) but they do not provide any analytical data and the ultrasound data are ambiguous (we should assume that by a small uterus they are referring to a prepubertal uterus, but they do not provide any data on ovarian size).","The presented case suggests premature thelarche, a condition characterized by precocious breast development in the absence of other secondary sexual characteristics, such as pubic or axillary hair, in girls under the age of 8.",KEEP,precocious,precocious,,235246008,235246008,5,5
Per-case same string,case_068.txt,severe,severe,"Respiratory infection due to aspiration would also occur later, and does not appear in all cases of severe chest trauma, only if there has been a decrease in the level of consciousness (associated TBI, uncontrolled intubation with bronchoaspiration...).",The most probable cause of this patient's severe hypoxemia is likely Pulmonary Contusion (option 3).,INCOMPARABLE,severe,severe,,24484000,24484000,7,7
Per-case same string,case_079.txt,corticosteroids,corticosteroids,And the initial treatment is corticosteroids.,"Given these findings, the most appropriate treatment for this patient would be corticosteroids, as suggested in option 3 (Autoimmune Hemolytic Anemia associated with respiratory infection and corticosteroids).",KEEP,corticosteroids,corticosteroids,,79440004,79440004,6,6
Per-case same string,case_027.txt,kawasaki disease,kawasaki disease,"There is no doubt, they are not meeting the diagnostic criteria of Kawasaki disease (fever of several days of evolution, exanthema, conjunctival injection, red lips, raspberry tongue, edema of acral parts and adenopathy).","Given the 6-day fever evolution, conjunctival injection, rash that confluences but not scarlatiniform, rash on the trunk and genital area, erythema with edema in hands and feet, and unilateral cervical lymphadenopathy, the most likely clinical diagnosis is Kawasaki disease, particularly due to the absence of typical m…",KEEP,kawasaki disease,kawasaki disease,,75053002,75053002,15,15
Per-case same string,case_076.txt,eeg,eeg,"Among other features is the previous history of seizures or absences, the worsening with nighttime departures, and the EEG with generalized polyp spike discharges at a higher frequency than that of absences.","Based on the presented symptoms and EEG findings, the most likely diagnosis appears to be Lennox-Gastaut Syndrome (LGS).",KEEP,eeg,eeg,,54550000,54550000,11,11
Per-case same string,case_070.txt,severe,severe,"Therefore, we are inclined towards allogeneic bone marrow transplantation if he has an HLA-identical sibling, since this is the treatment of choice according to the protocol of the Spanish Society of Hematology and Hemotherapy for patients under 40 years of age with severe bone marrow aplasia.","Given the severe bone marrow aplasia, the primary goal is to restore hematopoiesis and immune function as quickly as possible.",KEEP,severe,severe,,24484000,24484000,7,7
Per-case same string,case_125.txt,thrombocytopenia,thrombocytopenia,"Not only thrombocytopenia but also headache, schistocytes, high LDH and high bilirubin.","This condition is characterized by microthrombi formation and consumptive coagulopathy, leading to thrombocytopenia, hemolysis, and organ dysfunction.",KEEP,thrombocytopenia,thrombocytopenia,,70786006,70786006,10,10
Per-case same string,case_053.txt,hiv,hiv,"aeruginosa, a bacterial agent that can also cause pneumonia in HIV patients, but this is not common.","In this case, the patient presents with a productive cough, pleuritic pain in the right flank, fever, and a right basal consolidation on chest X-ray, along with a history of well-controlled HIV infection.",KEEP,hiv,hiv,,19030005,19030005,12,12
Per-case same string,case_013.txt,pregnancy,pregnancy,After that the monitoring will be monthly for six months and then every two months for another six months before a new pregnancy.,"Option 2 is also relevant, emphasizing the importance of avoiding pregnancy until regular check-ups and negative BHCG levels are established.",KEEP,pregnancy,pregnancy,Both 'pregnancy' in the human and model excerpts refer to the same clinical entity or situation in this case.,77386006,77386006,12,12
Per-case same string,case_090.txt,case,case,"It is true that factor V Leiden in heterozygosis is classified as low risk, who has not presented a previous thrombotic episode nor is there a combination with another thrombophilia; if we look at the CHEST guide, VIII edition and review what was said at the last congress of the Spanish Society of Gynecology and Obste…","Given the case of a 25-year-old woman who is a heterozygous factor V Leiden carrier with no history of thrombotic phenomena, the key concern is the potential risk of venous thromboembolism (VTE) during pregnancy.",KEEP,case,case,,398241000,398241000,3,3
Per-case same string,case_108.txt,mri,mri,"An MRI is not necessary, it does not contribute anything.","An MRI (option 4) may be useful to confirm the diagnosis and evaluate the extent of cartilage damage, but it is not always necessary for diagnosis in a typical case of OA",KEEP,mri,mri,"Both 'mri' in the excerpts refer to the same clinical entity, Magnetic Resonance Imaging (MRI), in this case.",113091000,113091000,11,11
Per-case same string,case_030.txt,diagnosis,diagnosis,This question is a bit convoluted for the diagnosis of Cushing's syndrome but easy if the steps are clear.,"Additionally, the presence of reddish striae in the abdomen and the radiological evidence of osteoporosis and vertebral crushing support this diagnosis.",KEEP,diagnosis,diagnosis,,439401001,439401001,3,3
Per-case same string,case_079.txt,consistent with,consistent with,"The girl presents cough and fever, consistent with a respiratory infection.","The marked anisocytosis, macrocytosis (MCV 109 fl), and polychromatophilia indicate anemia with varying maturity of red blood cells, which is consistent with AIHA.",KEEP,consistent with,consistent with,,7883008,7883008,4,4
Per-case same string,case_023.txt,fever,fever,"It presents with a pseudo-flu-like symptomatology (headache, arthralgias, myalgias, fever...)","The diagnosis most supported by the vignette is Q Fever, caused by the bacterium Coxiella burnetii.",INCOMPARABLE,fever,fever,"pipeline error: Expecting ',' delimiter: line 5 column 3 (char 73)",248425001,248425001,9,9
Per-case same string,case_112.txt,empyema,empyema,"In this question there should not be much doubt either (by the way, I think it is more of Pneumology than mine, but well, with this fever my friend Emilienko has deviated), since the clinical picture points to a parapneumonic pleural effusion, the macroscopic characteristics of the fluid seem so and the analysis of it…","Based on the presented case, the patient's symptoms and the laboratory findings suggest a diagnosis of empyema, which is a purulent (pus-containing) infection of the pleural space.",KEEP,empyema,empyema,,66696003,66696003,8,8
Per-case same string,case_056.txt,diabetes insipidus,diabetes insipidus,The analytical data suggest diabetes insipidus (high plasma osm with low urinary osm).,"Based on the presented symptoms of polyuria and polydipsia, and the laboratory findings of hypernatremia (148 mEq/L) and high plasma osmolality (309 mOsm/kg) with low urinary osmolality (89 mOsmlkg), the patient appears to have diabetes insipidus, either central or nephrogenic.",KEEP,diabetes insipidus,diabetes insipidus,"Both human and model excerpts refer to the same clinical entity, diabetes insipidus, and comparing SNOMED depth is meaningful as a specificity ladder.",15771004,15771004,12,12
Per-case same string,case_077.txt,absence,absence,The absence of e antigen rules out active replication.,"However, the absence of Anti-HBs (antibodies against the HBsAg) suggests that the patient has not been previously vaccinated or naturally infected, as vaccinated individuals would have Anti-HBs.",KEEP,absence,absence,,418560003,418560003,4,4
Per-case same string,case_119.txt,associated with,associated with,"It is frequently sporadic, but can be associated with Von-Hippel-Lindau syndrome.","This strategy avoids the risks associated with surgery (corporocaudal pancreatectomy, option 1) and invasive procedures such as endoscopic ultrasonography-guided puncture and ethanolization (option 2).",KEEP,associated with,associated with,,47429007,47429007,4,4
