category,case_stem,orig_entity_a,orig_entity_b,context_sentence_a,context_sentence_b,llm_decision,final_entity_a,final_entity_b,rationale,orig_concept_a,orig_concept_b,orig_depth_a,orig_depth_b,snomed_concept_a,snomed_concept_b,depth_a,depth_b,depth_diff_b_minus_a
Per-case hierarchical is-a,case_008.txt,disease,subcutaneous cellular tissue,Its elevation is characteristic of this disease.,,SUBSTITUTE,disease,subcutaneous tissue,"The human side refers to the disease in general, while the model side refers to a specific type of tissue. To compare SNOMED depth, we suggest replacing 'subcutaneous cellular tissue' with 'subcutaneous tissue' for a fair comparison.",64572001,8250007,2,16,64572001,71966008,2,9,7
Per-case hierarchical is-a,case_006.txt,lower limbs,peripheral neuropathy,,"In this case, the patient's presentation of symmetrical sensory symptoms in the distal extremities, specifically the hands and distal forearms, along with a lack of motor deficits, dysmetria, dysdiadochokinesia, or intention tremor, strongly suggests a peripheral neuropathy.",SUBSTITUTE,distal lower limbs,peripheral neuropathy,"While both entities refer to different body parts, 'lower limbs' is too broad to compare specificity with 'peripheral neuropathy'. Replacing 'lower limbs' with 'distal lower limbs' aligns the entities to the same body part level, allowing for a fair comparison.",723158004,42658009,12,6,,42658009,,6,
Per-case hierarchical is-a,case_017.txt,esophageal,disease,"This is a clear clinical case of systemic sclerosis (Raynaud's, esophageal involvement, skin induration) presenting with renal crisis.","Based on the presented symptoms and the recent introduction of prednisone, the most likely autoantibody associated with this process is Anti-proteinase 3 antibodies (ANCA-PR3), which are commonly found in patients with Wegener's granulomatosis, a disease characterized by vasculitis and organ involvement, including the…",SUBSTITUTE,esophageal involvement,Wegener's granulomatosis,"Both strings refer to different clinical entities, with 'esophageal involvement' being a symptom of systemic sclerosis and 'Wegener's granulomatosis' being a disease. To compare SNOMED depth, we need to compare entities on the same taxonomic branch.",19216006,64572001,11,2,707986004,390001000,16,,
Per-case hierarchical is-a,case_036.txt,metformin,medication,"Regarding weight, metformin to a lesser extent, SGLT-2 inhibitors and, above all, GLP-1 agonists have been associated with a significant decrease in weight in patients with DM-2 (answers 1,3 and 4 incorrect).",,SUBSTITUTE,metformin,oral hypoglycemic agents,"To compare SNOMED depth, it's necessary to use more specific terms. 'Metformin' is a specific oral hypoglycemic agent, while 'medication' is a broader term.",109081006,2533004,9,2,109081006,,9,,
Per-case hierarchical is-a,case_044.txt,abdominal ultrasound,investigations,"If we follow the diagnostic scheme for a premature telarche or suspicion of precocious puberty, we request bone age and abdominal ultrasound (the EO is not advanced as in precocious puberty, and we assume that with a small uterus they mean a prepubertal uterus); according to the complementary examinations that we are …","Although the possibility of other etiologies cannot be completely ruled out, the current presentation is most consistent with premature thelarche, and a watchful waiting approach with regular follow-ups seems appropriate, avoiding invasive and unnecessary investigations.",SUBSTITUTE,abdominal ultrasound,unnecessary investigations,"While both refer to diagnostic procedures, 'abdominal ultrasound' is a specific test, whereas 'unnecessary investigations' is a broader term encompassing various tests. To compare SNOMED depth, it would be more appropriate to replace 'unnecessary investigations' with 'abdominal ultrasound' or a more specific term.",314618003,252142004,15,7,314618003,,15,,
Per-case hierarchical is-a,case_096.txt,her2,neoplasia,,"Given the presented clinical case of an infiltrating ductal carcinoma in a woman with no family history of neoplasia, it is crucial to investigate the tumor's hormone receptors and HER2 status (option 2).",SUBSTITUTE,tumor's HER2 status,neoplasia,"While 'neoplasia' is a broad term for any abnormal growth, 'tumor's HER2 status' is a more specific reference to the HER2 status of the tumor, making it a better match for comparison.",427685000,55342001,19,4,,55342001,,4,
Per-case hierarchical is-a,case_122.txt,iga myeloma,disorder,,"Options 4 and 5, IgA myeloma with Bence-Jones proteinuria and Light chain myeloma, are both forms of myeloma that involve light chain production and can cause Bence-Jones proteinuria.",SUBSTITUTE,primary IgA plasma cell disorder,iga myeloma,"To compare SNOMED depth as a specificity ladder, we need to harmonize the surface strings. The human excerpt mentions 'IgA myeloma', a specific type of plasma cell disorder, while the model excerpt mentions 'disorder', a broader term. To ensure a fair comparison, we propose replacing 'disorder' with 'primary IgA plasma cell disorder'.",285420006,64572001,22,2,,285420006,,22,
Per-case hierarchical is-a,case_031.txt,adenocarcinoma,tumor,,"Based on the vignette, the patient presents with a large (5 cm) undifferentiated tumor in the right colon, a finding typically associated with medullary carcinoma of the colon (MCC).",SUBSTITUTE,large undifferentiated adenocarcinoma,tumor,"The model's 'tumor' is a broader term than 'adenocarcinoma' in the human excerpt. To compare SNOMED depth, it's necessary to replace 'tumor' with a more specific term that encompasses 'adenocarcinoma'.",35917007,108369006,13,8,,108369006,,8,
Per-case hierarchical is-a,case_079.txt,hemolysis,hemolytic anemia,,"Based on the presented clinical case, the most plausible diagnosis appears to be Autoimmune Hemolytic Anemia (AIHA).",SUBSTITUTE,intramedullary hemolysis,Autoimmune Hemolytic Anemia,"The human excerpt discusses a specific type of hemolysis (intramedullary), while the model explanation provides a broader diagnosis (Autoimmune Hemolytic Anemia). To compare SNOMED depth, it's necessary to replace the model's entity with a more specific one.",73320003,61261009,10,14,,25121006,,18,
Per-case hierarchical is-a,case_036.txt,pioglitazone,medication,,"Given the patient's poor glycemic control despite non-pharmacological measures and a high BMI, it is likely that she requires additional medication.",SUBSTITUTE,pioglitazone therapy,additional medication,"The human excerpt discusses a specific medication (pioglitazone), while the model excerpt discusses the need for additional medication in general. To compare SNOMED depth, we need to specify the type of medication in the model excerpt.",326058001,2533004,9,2,,,,,
Per-case hierarchical is-a,case_086.txt,disease,ibd,"Atrophy together with epithelial denudation are characteristic of this disease, which does not usually cause macroscopic alterations of the mucosa.","Although these features can be seen in various inflammatory bowel diseases (IBD), the absence of ulcers or friable areas on endoscopy, combined with the characteristic histological changes, make collagenous colitis the most likely diagnosis.",SUBSTITUTE,disease,ibd,"While both 'disease' and 'IBD' can be broad terms, in this context, 'IBD' is a specific subset of inflammatory bowel diseases, making it more specific than 'disease'. To compare SNOMED depth, it would be more appropriate to replace 'disease' with 'inflammatory bowel disease'.",64572001,24526004,2,11,64572001,24526004,2,11,9
Per-case hierarchical is-a,case_054.txt,surgical treatment,removal,,"Given the patient's advanced age, comorbidities, and history of a complicated tibial fracture with the development of atrophic pseudarthrosis and suppuration, the best immediate therapeutic option would likely be a combination of surgical debridement, removal of the nail, and external fixator application, along with t…",SUBSTITUTE,surgical intervention,removal,"While both strings refer to different aspects of the surgical treatment, 'surgical intervention' is a broader term that encompasses 'removal' and aligns with the model's mention of 'surgical debridement, removal of the nail, and external fixator application'.",9221009,118292001,21,3,413239008,118292001,9,3,-6
Per-case hierarchical is-a,case_003.txt,mri,assessment,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis.","A Cerebral Computed Tomography (CT) is not typically helpful in this context, and Multimodal evoked potentials are used more for the assessment of brainstem and spinal cord function rather than motor neuron disease.",INCOMPARABLE,mri,assessment,"pipeline error: Expecting ',' delimiter: line 5 column 3 (char 73)",113091000,122503006,11,5,113091000,122503006,11,5,-6
Per-case hierarchical is-a,case_029.txt,finding,amd,,"Given the patient's history of drusen, the most probable diagnosis is **4- Senile macular degeneration (AMD)**.",SUBSTITUTE,age-related macular degeneration finding,senile macular degeneration,"While both refer to macular degeneration, the human excerpt mentions a 'finding' related to it, whereas the model excerpt mentions a 'diagnosis'. To compare SNOMED depth, it's more appropriate to use the diagnoses mentioned in both excerpts.",246188002,237967002,1,13,,193384000,,,
Per-case hierarchical is-a,case_117.txt,disease,pancreatic neoplasm,,"Given the patient's history of pancreatic neoplasm and chemotherapy, the development of a pulmonary embolism is a concern.",SUBSTITUTE,disease (broadened to 'pancreatic disorder'),pancreatic neoplasm,"While 'disease' is a broad term, 'pancreatic neoplasm' refers to a specific type of pancreatic disorder. To compare specificity, it's more appropriate to broaden 'disease' to 'pancreatic disorder'.",64572001,1237341006,2,21,,1237341006,,21,
Per-case hierarchical is-a,case_062.txt,drug,escitalopram,"In this question, one might suspect the possibility of an affective shift after the introduction of the antidepressant drug, according to the patient, but if we look at the patient's ability to maintain sleep, there is a clear fact that ""rules out"" the hypo/manic shift.","The absence of irritability, improved sleep, and the recent initiation of escitalopram may point towards a drug-induced effect.",KEEP,drug,escitalopram,"Both excerpts discuss the effect of a drug (antidepressant), and 'escitalopram' is a specific type of antidepressant mentioned in the model excerpt. Therefore, comparing SNOMED depth is a fair read of different specificity on the same taxonomic branch.",2533004,395246009,2,9,2533004,395246009,2,9,7
Per-case hierarchical is-a,case_096.txt,breast cancer,her2-positive,"Currently the molecular classification of breast cancer is based on the study of hormone receptors, HER2 and the tumor cell proliferation index (Ki67).",,SUBSTITUTE,breast cancer,HER2-positive breast cancer,"While both strings refer to the same clinical topic, 'breast cancer' is too broad for a depth comparison with 'HER2-positive'. A more specific version of 'breast cancer' is needed to maintain the comparison.",254837009,427685000,14,19,254837009,,14,,
Per-case hierarchical is-a,case_029.txt,finding,central vision,"That while not a ""diagnosis"" (the question could have been better worded) is a finding related to age-related macular degeneration, or age-related macular degeneration.","**2- Macular hole** would present with symptoms such as a central scotoma and loss of clarity of central vision, rather than metamorphopsia and significant visual loss.",SUBSTITUTE,age-related macular degeneration,macular hole,"Both strings represent different clinical conditions within the macular degeneration family, making a comparison of SNOMED depth inappropriate. Replacing 'finding' with 'age-related macular degeneration' and 'central vision' with 'macular hole' would allow for a fair comparison of specificity.",246188002,16350000,1,14,155112007,193388002,,,
Per-case hierarchical is-a,case_021.txt,isolated thrombocytopenia,disease,"In the presence of isolated thrombocytopenia we must not lose sight of the physical examination; thus, the presence of lymphadenopathy forces us to rule out the presence of lymphoma, for example.",The false statement regarding the diagnosis of ITP is number 1: The presence of lymphadenopathy or splenomegaly in the physical examination does not suggest a different diagnosis of ITP.,SUBSTITUTE,isolated thrombocytopenia,ITP,"While both strings refer to different conditions causing thrombocytopenia, a fair read of relative specificity would require comparing the same condition. Here, substituting 'ITP' for 'disease' allows for a comparison of the specific thrombocytopenia condition.",724637001,64572001,15,2,724637001,32273002,15,18,3
Per-case hierarchical is-a,case_092.txt,syndrome,third nerve palsy,Pituitary apoplexy is a syndrome characterized by the sudden onset of headache accompanied by ocular motility disturbances and a variable degree of pituitary insufficiency.,,SUBSTITUTE,Pituitary apoplexy,posterior communicating artery aneurysm rupture,"Although the entities are not the same, they are related in the context of the vignette. A fair comparison can be made by replacing 'syndrome' with 'Pituitary apoplexy' and 'third nerve palsy' with 'posterior communicating artery aneurysm rupture' to focus on the underlying condition.",64572001,12900003,2,13,237701005,,16,,
Per-case hierarchical is-a,case_074.txt,disease,inflammatory response,"If what you are looking for is a remission of the disease as soon as possible, you could choose to consider associating an anti-TNF alpha?","The patient's symptoms persist despite 6 months of treatment with indomethacin and methotrexate, and laboratory tests reveal a persistent inflammatory response as indicated by elevated ESR and CRP levels.",SUBSTITUTE,disease,inflammatory response,"While both entities are related to the patient's condition, 'disease' is a broader term than 'inflammatory response'. To compare SNOMED depth, it would be more appropriate to replace 'inflammatory response' with 'inflammatory disease'.",64572001,238149007,2,6,64572001,238149007,2,7,5
Per-case hierarchical is-a,case_029.txt,macular edema,disease,,"Given the patient's history of drusen, the most probable diagnosis is **4- Senile macular degeneration (AMD)**.",SUBSTITUTE,central retinal vein thrombosis,AMD,"The human excerpt discusses a specific condition (thrombosis of the central retinal vein) and its symptoms, while the model excerpt discusses a broader condition (AMD) and its symptoms. To compare SNOMED depth, it is necessary to replace 'disease' with a more specific entity related to AMD, such as 'age-related macular degeneration'.",37231002,64572001,14,2,68478007,237967002,19,13,-6
Per-case hierarchical is-a,case_011.txt,corticosteroids,dexamethasone,"We would manage the patient with gabapentin and corticosteroids (true answer 4); we would not decrease the dose of morphine (false answer 3), and in the meantime we would ask for a CT scan (or abdominal MRI) to subsequently assess the plexus block (answers 1 and 2 for future management).","Option 4 (Administer amitriptyline or gabapentin, dexamethasone and increase the dose of morphine)",SUBSTITUTE,corticosteroids,"amitriptyline or gabapentin, dexamethasone","The model's response includes multiple entities, one of which is dexamethasone, a type of corticosteroid. To compare specificity, we need to isolate dexamethasone from the other entities in the model's response.",79440004,116568000,6,19,79440004,,6,,
Per-case hierarchical is-a,case_010.txt,mitral insufficiency,cardiac finding,,,SUBSTITUTE,mitral regurgitation,left ventricular failure with radiating murmur,"While both entities refer to cardiac conditions, they differ in specificity and focus. 'Mitral insufficiency' is a specific type of regurgitation, whereas 'cardiac finding' is a broader term. To compare SNOMED depth, it would be more appropriate to replace 'cardiac finding' with a more specific term such as 'left ventricular failure with radiating murmur', which aligns with the model's excerpt.",48724000,301095005,15,8,48724000,,15,,
Per-case hierarchical is-a,case_029.txt,visual loss,disease,The dry or atrophic form presents with slowly progressive visual loss.,,SUBSTITUTE,slowly progressive visual loss,advanced stages of AMD,"While both strings refer to different aspects of the same condition (age-related macular degeneration), a fair comparison of SNOMED depth requires harmonizing the surface strings to better reflect the specificity. The human side could be replaced with 'advanced visual loss' and the model side with 'AMD'.",40031005,64572001,12,2,,,,,
Per-case hierarchical is-a,case_010.txt,murmur,cardiac finding,"Likewise, a murmur that was not present indicates abnormal blood flow: the most frequent complications are mitral insufficiency, which would present with a musical or piante murmur, and VSD, which presents with a murmur radiating to the right border (think of the direction of blood flow).","Based on the presented case, the most likely complication is a Left Ventricular Free Wall Rupture (LVFWR).",SUBSTITUTE,murmur,LVFWR,"While both entities are related to cardiac conditions, 'murmur' and 'LVFLeft Ventricular Failure' are not directly comparable as specificity levels. Replacing 'LVFWR' with 'LVF (Left Ventricular Failure)' allows for a fair comparison of specificity on the same taxonomic branch.",88610006,301095005,13,8,88610006,,13,,
Per-case hierarchical is-a,case_029.txt,finding,visual loss,,"In the presented case, a 75-year-old woman with a known history of soft drusen in the fundus has recently developed significant visual loss and metamorphopsia in her right eye.",SUBSTITUTE,age-related macular degeneration finding,significant visual loss,"While both strings are related to the same clinical topic, 'finding' is too broad to compare depth with 'visual loss'. Replacing 'finding' with 'age-related macular degeneration finding' allows for a fair comparison of specificity.",246188002,40031005,1,12,,,,,
Per-case hierarchical is-a,case_096.txt,her2-,neoplasia,,"Given the presented clinical case of an infiltrating ductal carcinoma in a woman with no family history of neoplasia, it is crucial to investigate the tumor's hormone receptors and HER2 status (option 2).",SUBSTITUTE,HER2 negative,infiltrating ductal carcinoma,"While 'her2-' refers to a specific subtype of breast cancer, 'neoplasia' is a broader term for any abnormal growth of cells. To compare SNOMED depth as a specificity ladder, it's more appropriate to compare 'HER2 negative' with 'infiltrating ductal carcinoma'.",427685000,55342001,19,4,,422399001,,20,
Per-case hierarchical is-a,case_029.txt,finding,loss of vision,,"**3- Thrombosis of the central retinal vein** would present with symptoms such as sudden, painless loss of vision, a complete field defect, and a swollen disc, which are not consistent with the patient's presentation.",SUBSTITUTE,age-related macular degeneration finding,"sudden, painless loss of vision","While 'finding' is a broad term, in this context it refers to a specific condition, age-related macular degeneration. 'Loss of vision' is a symptom, not a specific condition, and thus not directly comparable in terms of SNOMED depth.",246188002,40031005,1,12,,,,,
Per-case hierarchical is-a,case_054.txt,soft tissues,bone,,,SUBSTITUTE,tissue healing,bone healing,"While 'soft tissues' and 'bone' are not directly comparable in terms of SNOMED depth, a fair read of relative specificity would involve comparing the healing processes of the soft tissues and the bone. Therefore, the noun phrases 'tissue healing' and 'bone healing' are proposed as replacements.",87784001,128530007,6,12,,405043008,,5,
Per-case hierarchical is-a,case_028.txt,glomerulonephritis,egpa,"Also at the end of the case, they comment us the urinalysis with a glomerulonephritis that is present in 77% of the patients.","Although Eosinophilic granulomatosis with polyangiitis (EGPA) may also present with nasal symptoms and proteinuria, eosinophilia is typically a feature, which is not evident in this case",SUBSTITUTE,glomerulonephritis,eosinophilic granulomatosis with polyangiitis,"While both entities are related to kidney diseases, 'glomerulonephritis' is a broader term that encompasses various kidney inflammations, whereas 'eosinophilic granulomatosis with polyangiitis' is a specific type of vasculitis. To compare SNOMED depth, it would be more appropriate to substitute 'eosinophilic granulomatosis with polyangiitis' with 'eosinophilic glomerulonephritis', a more specific form of glomerulonephritis.",36171008,82275008,15,19,36171008,82275008,15,19,4
Per-case hierarchical is-a,case_079.txt,autoimmune hemolytic anemia,hemolysis,"Answer 3 is the one I consider correct: an autoimmune hemolytic anemia would justify the data given: elevated LDH and bilirubinemia due to red cell destruction, polychromatophilia, spherocytosis and anisocytosis because the marrow is working hard to try to compensate for the anemia, which is regenerative.","The raised unconjugated bilirubin (6.1 mg/dl) and LDH (2408 U/L) levels indicate hemolysis, a key feature of AIHA.",SUBSTITUTE,autoimmune hemolytic anemia,hemolysis,"While both entities are related, 'hemolysis' is a broader term that encompasses various conditions causing red blood cell destruction, whereas 'autoimmune hemolytic anemia' is a specific type of hemolysis. To compare specificity, we suggest replacing 'hemolysis' with 'autoimmune hemolytic anemia' on the model side.",25121006,73320003,18,10,25121006,73320003,18,10,-8
Per-case hierarchical is-a,case_005.txt,lower limb,knee,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver.","Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition.",SUBSTITUTE,lower limb,leg,"While 'knee' is mentioned in the model excerpt, a more appropriate comparison for 'lower limb' would be 'leg', as it encompasses the knee and the rest of the lower limb.",61685007,72696002,10,14,61685007,30021000,10,14,4
Per-case hierarchical is-a,case_068.txt,thorax,lung,"Contrary to what we may think, an unstable thorax due to multiple rib fractures (costal volet) would cause progressive hypoventilation with atelectasis of the pulmonary parenchyma, which would progress on the one hand to hypercapnia and respiratory acidosis, and on the other, to later hypoxemia due to infection associ…",,SUBSTITUTE,thorax,pulmonary parenchyma,"Although 'thorax' and 'lung' are not directly comparable, 'pulmonary parenchyma' (the tissue of the lung) is a more specific replacement for 'lung' in this context, as the human excerpt discusses the impact on the lung tissue due to multiple rib fractures.",51185008,39607008,11,15,51185008,396918008,11,7,-4
Per-case hierarchical is-a,case_043.txt,biopsy,renal biopsy,"The rest of the data (seminules in the biopsy, linear IgG deposition) supports the diagnosis.",A renal biopsy reveals crescents in 75% of the glomeruli and a linear Ig deposition pattern on immunofluorescence.,SUBSTITUTE,biopsy,renal biopsy,"Although both refer to a biopsy, the model side specifies 'renal', which is more specific. To compare SNOMED depth, it's necessary to harmonize the specificity by replacing 'biopsy' with 'renal biopsy'.",86273004,7246002,11,15,86273004,7246002,11,15,4
Per-case hierarchical is-a,case_049.txt,thrombocytopenia,wiskott-aldrich syndrome,"In addition to thrombocytopenia, they are at increased risk for autoimmune phenomena and lymphoid neoplasms.","Wiskott-Aldrich syndrome (1) is characterized by eczema, thrombocytopenia, and immunodeficiency, but it typically presents with bleeding diatheses, not recurrent infections.",SUBSTITUTE,thrombocytopenia,Wiskott-Aldrich syndrome,"While both entities are related to the case, 'thrombocytopenia' is a symptom, whereas 'Wiskott-Aldrich syndrome' is a specific disease that includes thrombocytopenia as one of its symptoms. To compare SNOMED depth, it's more appropriate to substitute 'Wiskott-Aldrich syndrome' with 'thrombocytopenia with autoimmune phenomena and lymphoid neoplasms'.",70786006,36070007,10,20,70786006,36070007,10,20,10
Per-case hierarchical is-a,case_014.txt,finding,renal function impairment,,,SUBSTITUTE,pathological finding,renal dysfunction,"While 'finding' is broad, it does not directly imply a pathological condition. 'Pathological finding' is more specific and aligns with the context. 'Renal dysfunction' is a more specific term for 'renal function impairment'.",246188002,197671004,1,12,,236423003,,11,
Per-case hierarchical is-a,case_092.txt,syndrome,subarachnoid hemorrhage,Pituitary apoplexy is a syndrome characterized by the sudden onset of headache accompanied by ocular motility disturbances and a variable degree of pituitary insufficiency.,"Option 2 most likely fits the scenario, as the mass observed in the CT scan could be a thrombosed PCom aneurysm causing the subarachnoid hemorrhage.",INCOMPARABLE,syndrome,subarachnoid hemorrhage,"pipeline error: Expecting ',' delimiter: line 5 column 3 (char 73)",64572001,21454007,2,16,64572001,21454007,2,16,14
