term,mean_tfidf_a,mean_tfidf_b,difference_a_minus_b
anemia,0.007221700049820096,0.0037594035251572507,0.0034622965246628454
emergency,0.004361102362033094,0.0009164554860701754,0.0034446468759629185
were,0.004070653080885411,0.0006584747101903789,0.003412178370695032
necessary,0.008796904784199283,0.00538681885608399,0.003410085928115293
granulomatosis,0.004619687855643293,0.0012527087476548345,0.0033669791079884584
orbit,0.003969690138916907,0.0006206716778065076,0.0033490184611103995
contralateral,0.00408251854950532,0.0007908427803880024,0.0032916757691173176
treat,0.004193016569275722,0.0009241454568901366,0.0032688711123855852
ldh,0.005938900414233471,0.002719907038542765,0.003218993375690706
two,0.005490540168050144,0.0022734353687808065,0.003217104799269337
either,0.004780534809996103,0.0015899532461863654,0.0031905815638097372
elevation,0.00406854672706235,0.0008951629524295882,0.0031733837746327617
crisis,0.005054174242279265,0.001907071579966627,0.003147102662312638
affect,0.004695938889387635,0.0015507115876907775,0.003145227301696857
worsening,0.00375840043149455,0.000752452540973025,0.003005947890521525
indicated,0.009321761857192933,0.006349244319089365,0.002972517538103568
before,0.0034046360158768952,0.00046590114382871387,0.002938734872048181
months,0.009360692808104752,0.006448598219971005,0.002912094588133747
last,0.003687140454504306,0.0007798073528317941,0.0029073331016725118
presents,0.009788693416736396,0.006930339721280057,0.0028583536954563393
make,0.005136228929620593,0.002281357219595134,0.0028548717100254587
pathology,0.004633063212595177,0.001797446924291944,0.0028356162883032333
syndrome,0.014987624121309615,0.012169337397916005,0.0028182867233936103
abscesses,0.003938481464700801,0.0011441466297521068,0.0027943348349486943
drug,0.005951212425981478,0.0031622034037348083,0.00278900902224667
malnutrition,0.004305092262528403,0.0015241029582837478,0.002780989304244655
urinalysis,0.0033424980326004707,0.0005852168785556493,0.0027572811540448215
three,0.006237490024744458,0.0034825606261011306,0.0027549293986433277
analgesic,0.004456288329039837,0.0017034251938215523,0.002752863135218285
symptomatology,0.0033940108039203663,0.0006584747101903789,0.0027355360937299875
step,0.0035925434884309733,0.0008732565976310258,0.0027192868907999473
cases,0.00524180006298323,0.002529761168727336,0.002712038894255894
fractures,0.00395166593372394,0.0012413433556130152,0.002710322578110925
previous,0.006102477262562664,0.003418047637458121,0.0026844296251045427
arteritis,0.003515972475221581,0.0008339925021561913,0.0026819799730653897
hemolytic,0.0037341374061478274,0.0010741152929020716,0.002660022113245756
pituitary,0.005545021090958231,0.0029266242368035317,0.0026183968541546995
ph,0.0046284978774061725,0.002013008109185134,0.0026154897682210384
vascular,0.0033449656653352436,0.000752452540973025,0.0025925131243622187
almost,0.003493685307536526,0.0009494094746434767,0.002544275832893049
points,0.004364361222594841,0.0018309902010101794,0.0025333710215846615
then,0.004010617261175811,0.0015241029582837478,0.0024865143028920634
nodes,0.004132462914227312,0.0016481511538161404,0.0024843117604111714
wait,0.0035058147123140705,0.0010255003639551416,0.002480314348358929
fibrinolysis,0.003132681857765794,0.0006549465508893192,0.0024777353068764748
endometrial,0.005726267169415339,0.003288158600936983,0.0024381085684783556
macular,0.004659211582706275,0.00228976814988905,0.0023694434328172245
leptospirosis,0.0035806473074217297,0.001224919762903012,0.0023557275445187176
panagglutinin,0.002882208898846263,0.0005370576464510358,0.0023451512523952273
exits,0.0037985449309394337,0.0014640932208858193,0.0023344517100536144
headache,0.006920968621294275,0.004592552162867649,0.0023284164584266263
characteristics,0.003304829662306492,0.0009779830521504523,0.00232684661015604
decrease,0.004308963350276884,0.0020105164506068725,0.0022984468996700112
monitored,0.0027839056627354548,0.0004889915260752262,0.0022949141366602286
pregnant,0.005276800062452642,0.0030017544281128322,0.0022750456343398097
value,0.004392477564081455,0.002121854578206822,0.0022706229858746327
posterior,0.003415096085873609,0.0011606776927681436,0.002254418393105465
same,0.004695766172610339,0.00244315406522441,0.002252612107385929
disturbances,0.003979152276518438,0.0017377402474658286,0.002241412029052609
was,0.004521162077133233,0.0022818378731707984,0.002239324203962435
true,0.0027275053305831796,0.0004889915260752262,0.0022385138045079534
taken,0.0032383282209914803,0.0010255003639551416,0.0022128278570363387
edema,0.005618294112663203,0.0034089614436750943,0.0022093326689881084
biopsy,0.006447152637288207,0.004240542564610263,0.002206610072677944
turner,0.0028838213909066963,0.0006907593600774875,0.002193062030829209
movements,0.0045835730207601415,0.0024112392638460764,0.002172333756914065
confirmed,0.0032706255667412057,0.0011588912096575027,0.002111734357083703
fibers,0.0030594269763903927,0.0009662172458525385,0.002093209730537854
diagnosed,0.002993857738691095,0.0009021201947490414,0.002091737543942054
platelets,0.003637865047774295,0.0015716682734916965,0.0020661967742825983
produced,0.0028279396066328397,0.0007619716695003108,0.002065967937132529
when,0.0076710187272939125,0.005610045189606616,0.0020609735376872964
perfusion,0.0027067504275008246,0.0006549465508893192,0.0020518038766115052
atopic,0.0026344045310627913,0.0005975423099566317,0.00203686222110616
both,0.006455959397000288,0.004420739427294434,0.0020352199697058542
apart,0.0031654957354225895,0.0011303519267395533,0.002035143808683036
except,0.0032669418449439262,0.0012527087476548345,0.0020142330972890915
open,0.0024989290341758483,0.0005112974328001282,0.00198763160137572
stage,0.007146024701600862,0.005182185849523687,0.001963838852077175
accurate,0.0028659064323797476,0.0009086719703039951,0.001957234462075752
giant,0.0027858997470708276,0.0008339925021561913,0.0019519072449146364
diseases,0.004900280460877259,0.0029546236956134644,0.0019456567652637946
until,0.00461072589045386,0.002666292904373231,0.0019444329860806293
eliminate,0.0024528827982038385,0.0005112974328001282,0.0019415853654037103
who,0.005163414684158677,0.0032220822799296014,0.0019413324042290752
him,0.0029617236126955274,0.0010366540617653857,0.0019250695509301417
days,0.004901822100411931,0.0029801444921028738,0.0019216776083090569
ocular,0.005381267347926922,0.003481777218460297,0.0018994901294666251
situation,0.0038114998979053034,0.001912617717761523,0.0018988821801437803
cover,0.0025337299535724937,0.0006440901376647787,0.001889639815907715
prognosis,0.0025632788504439236,0.0006907593600774875,0.0018725194903664363
esophageal,0.002912528462647781,0.0010405840791904725,0.0018719443834573084
among,0.004306633812839147,0.0024692628926905593,0.001837370920148588
under,0.0026242346779832898,0.0007908427803880024,0.0018333918975952873
hypercalcemia,0.0030336604660704176,0.001201564343398282,0.0018320961226721355
require,0.0031441264262950814,0.0013318869026409876,0.0018122395236540938
times,0.0023409553686787854,0.0005325104855307899,0.0018084448831479955
complete,0.0033822551824990287,0.0015804138288254036,0.001801841353673625
arterial,0.004180507375873657,0.002379717697176935,0.0018007896786967218
our,0.0037272299784804623,0.0019296027577663574,0.001797627220714105
atelectasis,0.002995854169690083,0.0012236403271597817,0.001772213842530301
symptomatic,0.00277961355559622,0.0010089361529755205,0.0017706774026206994
treated,0.002414451510694031,0.0006440901376647787,0.0017703613730292523
risser,0.003017250992840901,0.0012559557658328752,0.0017612952270080258
unlikely,0.002972185980084141,0.0012236403271597817,0.0017485456529243593
rare,0.003984736175139891,0.002251971088893006,0.0017327650862468853
tumor,0.0027719219158955804,0.0010405444969395225,0.0017313774189560579
fracture,0.008357139486208589,0.006634647548600886,0.0017224919376077029
intracellular,0.002617921732336856,0.0009222192035488508,0.0016957025287880055
bilirubin,0.003277467638196575,0.0016020918088400346,0.0016753758293565405
completely,0.0023061725307394064,0.0006440901376647787,0.0016620823930746276
cancer,0.005634574277300467,0.003984027527548705,0.0016505467497517625
image,0.0024053721557487644,0.0007690137761884467,0.0016363583795603177
diagnose,0.00209520902575743,0.00046590114382871387,0.001629307881928716
collagen,0.0048565661147971055,0.00322923114737228,0.0016273349674248254
schistocytes,0.0030820531077637167,0.0014547963404337402,0.0016272567673299766
ticlopidine,0.0030820531077637167,0.0014547963404337402,0.0016272567673299766
become,0.003724021944460827,0.002106595879729796,0.0016174260647310308
surgical,0.004646249621604546,0.0030339294505617592,0.0016123201710427871
systole,0.002466989108475213,0.0008565748925007894,0.0016104142159744234
period,0.002594811812272197,0.0009853272367508052,0.0016094845755213916
enough,0.002497683049778891,0.0009086719703039951,0.001589011079474896
serum,0.004759108167544032,0.003170353719011972,0.0015887544485320604
coli,0.006584691693528033,0.005005525759516788,0.0015791659340112446
seem,0.0028985851592360883,0.0013345369868403446,0.0015640481723957437
hypercortisolism,0.002175897007901047,0.0006165734395265618,0.0015593235683744851
radius,0.0034957885107254794,0.0019412831778971723,0.001554505332828307
metamorphopsia,0.0028315505590191365,0.0012810418849914496,0.0015505086740276869
reflexes,0.002121455316180596,0.0005792467491552762,0.0015422085670253197
careful,0.002196490788863917,0.0006549465508893192,0.0015415442379745979
contact,0.0036730066856447367,0.0021517480630779415,0.0015212586225667952
time,0.005918335142424114,0.004413307074125987,0.0015050280682981278
dose,0.006804157414182084,0.005306125824251582,0.0014980315899305024
dumping,0.002562162962313483,0.0010675225930046205,0.0014946403693088626
limit,0.0020859847165206457,0.0005975423099566317,0.001488442406564014
gland,0.003559750553943221,0.002081088993879045,0.001478661560064176
four,0.0020559570444476263,0.0005792467491552762,0.00147671029529235
pathological,0.003004802010187777,0.0015370109452328756,0.0014677910649549012
adults,0.002066231457113656,0.0006015770225559667,0.0014646544345576892
her2,0.005101735876491597,0.003668800670660339,0.0014329352058312576
resistant,0.002481283684725535,0.0010542018023677632,0.0014270818823577717
drugs,0.0036861025165194194,0.00226800802631576,0.0014180944902036593
bernard,0.0023834108358462263,0.000967592147319655,0.0014158186885265714
acth,0.0032638455118515707,0.0018497203185796852,0.0014141251932718855
based,0.0028371330310882916,0.001423469752367595,0.0014136632787206966
corresponds,0.003570947813245424,0.0021599590720232176,0.0014109887412222062
thromboplastin,0.002375428987959491,0.000967592147319655,0.001407836840639836
biliary,0.002608487800837748,0.0012043251973878895,0.0014041626034498587
treatments,0.00444943745401472,0.0030553493428394753,0.0013940881111752443
later,0.003112740675951074,0.001720127028487223,0.001392613647463851
next,0.002344477848202308,0.000954161470740971,0.001390316377461337
crying,0.0022917865103800708,0.0009021201947490414,0.0013896663156310295
pseudocrisis,0.0022917865103800708,0.0009021201947490414,0.0013896663156310295
visible,0.0020079140658181946,0.0006206716778065076,0.001387242388011687
without,0.008513619217016231,0.007138461592615096,0.001375157624401135
acid,0.003837175458008992,0.0024632916138464605,0.0013738838441625313
supplemental,0.0026614620499722796,0.0012893249254213714,0.0013721371245509083
burn,0.0022708482648783786,0.0009164554860701754,0.001354392778808203
develops,0.0019489760536810746,0.0006015770225559667,0.001347399031125108
adenocarcinoma,0.0021226224267836664,0.0007798073528317941,0.0013428150739518722
produce,0.003171097721409632,0.0018415982482452879,0.0013294994731643441
absences,0.00317134533486105,0.001850355372566546,0.001320989962294504
recommended,0.0018905656073111266,0.0005750701523525265,0.0013154954549586002
statement,0.004785273288365506,0.003488732635780258,0.0012965406525852485
isolated,0.0017681467635661898,0.0004889915260752262,0.0012791552374909637
colon,0.0031839336401754998,0.0019153583544531767,0.001268575285722323
those,0.004626577100635461,0.003358696489062415,0.0012678806115730456
infections,0.006511359004727568,0.005253600626743578,0.00125775837798399
current,0.003253159289128182,0.0019960996451704504,0.0012570596439577318
several,0.0029494602347513764,0.0017035083817789573,0.0012459518529724192
imaging,0.005544965453690644,0.004316807103654238,0.0012281583500364061
broad,0.002259944662491839,0.0010366540617653857,0.0012232906007264533
hemorrhage,0.001860358150224502,0.0006440901376647787,0.0012162680125597232
acidosis,0.005965656785559206,0.004756790415046383,0.001208866370512823
thyroid,0.004677450496443333,0.003472329374070193,0.0012051211223731402
check,0.002257185893700531,0.0010536706118147111,0.00120351528188582
sensitive,0.0044606319093007316,0.0032943960929536905,0.001166235816347041
becomes,0.0019223241191790236,0.0007659421594643941,0.0011563819597146295
min,0.0031914947445436425,0.0020552749585000273,0.0011362197860436151
associated,0.009599202355378565,0.008467340696716045,0.00113186165866252
aldosterone,0.0022302090888576586,0.001108700118545649,0.0011215089703120096
effect,0.0032095375631441938,0.0020903807084118615,0.0011191568547323323
precocious,0.002582594779562789,0.0014669745782256785,0.0011156202013371105
information,0.003385715217939962,0.0022800856302540567,0.0011056295876859055
bicarbonate,0.002374358833367448,0.0012793535638766342,0.0010950052694908138
main,0.0017478942553627397,0.0006549465508893192,0.0010929477044734205
20,0.005011158294307889,0.003932408680760391,0.001078749613547498
hemianopsia,0.0021159428043159368,0.0010414369852631625,0.0010745058190527743
woman,0.005112818416152198,0.0040441686879640545,0.001068649728188143
halo,0.0023577136125089732,0.0012931043496652661,0.001064609262843707
around,0.0015937358554174957,0.0005325104855307899,0.0010612253698867057
warranted,0.002066231457113656,0.0010089361529755205,0.0010572953041381354
family,0.004011983317423033,0.00296223863132736,0.0010497446860956734
shock,0.0021669374810802705,0.0011303519267395533,0.0010365855543407172
analytical,0.002874408448885408,0.0018387695952897585,0.0010356388535956496
linear,0.0018275422004662622,0.0007930450710597834,0.0010344971294064787
livestock,0.001965932527355346,0.0009494094746434767,0.0010165230527118695
developing,0.002084902405991635,0.0010717191276834231,0.0010131832783082117
defects,0.0016507244791304158,0.0006549465508893192,0.0009957779282410966
demonstrated,0.0019771770261152967,0.0009824301335779576,0.000994746892537339
complementary,0.00237615943882025,0.0013916472875966607,0.0009845121512235895
lips,0.002012957498906988,0.0010288545495803674,0.0009841029493266205
raspberry,0.002012957498906988,0.0010288545495803674,0.0009841029493266205
relieved,0.0020153040626160897,0.0010352953209489151,0.0009800087416671746
injection,0.0038204281856936374,0.002843848155917656,0.0009765800297759815
deposited,0.0015563889181171475,0.0005852168785556493,0.0009711720395614982
nerve,0.005602340168864718,0.00463265914564873,0.0009696810232159882
systemic,0.004963501350297401,0.003994210162432301,0.0009692911878650999
vitreous,0.0016272947165944882,0.0006584747101903789,0.0009688200064041094
adenopathy,0.002012957498906988,0.0010470622930856563,0.0009658952058213316
negatives,0.0014315667923538347,0.00046590114382871387,0.0009656656485251209
explain,0.0028826698196942873,0.0019182511069533426,0.0009644187127409447
new,0.004177163234068803,0.003217381598566078,0.0009597816355027249
smooth,0.0018273078491555755,0.0008732565976310258,0.0009540512515245497
mutation,0.0015168302330352088,0.0005750701523525265,0.0009417600806826823
tamponade,0.0031502271770281237,0.002209430012195652,0.0009407971648324716
send,0.001976799580796653,0.0010366540617653857,0.0009401455190312673
observation,0.0023143134292107122,0.0013916472875966607,0.0009226661416140516
mole,0.003207047105623726,0.0022859150085009325,0.0009211320971227936
related,0.005166507423831186,0.0042503120424084075,0.0009161953814227786
any,0.004707658426661737,0.0037923738775599188,0.0009152845491018184
muscular,0.0018273078491555755,0.0009164554860701754,0.0009108523630854002
child,0.004117591121822314,0.003212697618721812,0.0009048935031005017
easy,0.0029271012749621968,0.0020247046650429443,0.0009023966099192524
aplasia,0.0026376534866216035,0.001735480624260707,0.0009021728623608966
subsides,0.001509005510072106,0.0006206716778065076,0.0008883338322655984
abrupt,0.0016511013221528017,0.0007673202195352334,0.0008837811026175683
uti,0.0029233646131292326,0.002045180508030588,0.0008781841050986448
insulin,0.002074365706089522,0.0012004060293360496,0.0008739596767534722
difficult,0.0020780690292354696,0.0012115306155470007,0.0008665384136884689
profile,0.0014410196496560778,0.0005750701523525265,0.0008659494973035513
incidence,0.001777172906860317,0.0009212081016940558,0.0008559648051662611
each,0.0017779071494556991,0.0009241454568901366,0.0008537616925655625
load,0.0017687849147953762,0.0009318022876574277,0.0008369826271379485
conjunctival,0.0038204281856936374,0.0029852332099727565,0.0008351949757208809
once,0.0014760041789349332,0.0006440901376647787,0.0008319140412701545
respectively,0.0016113058735995817,0.0007798073528317941,0.0008314985207677876
poor,0.0033859002492585867,0.002558743184579442,0.0008271570646791447
manifestations,0.00205150169730721,0.00122740698462807,0.0008240947126791401
harmful,0.0013129821288693896,0.0004889915260752262,0.0008239906027941635
aspirin,0.0013983118862436663,0.0005750701523525265,0.0008232417338911398
full,0.0015105581176503302,0.0006907593600774875,0.0008197987575728427
nnt,0.0026657593602904756,0.0018482909137802733,0.0008174684465102023
warfarin,0.0026657593602904756,0.0018482909137802733,0.0008174684465102023
endometriosis,0.001976799580796653,0.0011606776927681436,0.0008161218880285094
escherichia,0.002772139131572766,0.001956977344114382,0.0008151617874583841
endemic,0.0017903236537108649,0.0009817843067772948,0.00080853934693357
girl,0.0021035021842578353,0.0013098454372547225,0.0007936567470031128
total,0.0027091494162898456,0.001916082082873245,0.0007930673334166005
disability,0.001483825655331977,0.0006907593600774875,0.0007930662952544896
intellectual,0.001483825655331977,0.0006907593600774875,0.0007930662952544896
ngs,0.001483825655331977,0.0006907593600774875,0.0007930662952544896
papillary,0.0016511013221528017,0.0008732565976310258,0.0007778447245217759
diplopia,0.0016807272561500785,0.0009031406713431693,0.0007775865848069092
griseofulvin,0.002865059083960816,0.0020941245861713126,0.0007709344977895032
study,0.0051398146594878735,0.004381169950735744,0.0007586447087521292
general,0.0036395470878659852,0.0028886390045720564,0.0007509080832939288
imply,0.0015398687583030703,0.0007908427803880024,0.0007490259779150679
necessarily,0.0015398687583030703,0.0007908427803880024,0.0007490259779150679
course,0.0039055045228180447,0.003164490998965011,0.0007410135238530339
claudication,0.0031798567028049887,0.002449919405442313,0.0007299372973626757
neuropathy,0.001979177619154184,0.0012503450647095805,0.0007288325544446035
dermatitis,0.0013235794091560563,0.0005975423099566317,0.0007260370991994246
distortion,0.001486282116563802,0.0007690137761884467,0.0007172683403753554
raises,0.0015490295350575143,0.0008339925021561913,0.000715037032901323
ruled,0.0013518196065794527,0.0006440901376647787,0.000707729468914674
request,0.0020937750489108927,0.0013916472875966607,0.000702127761314232
orbito,0.0013222351919630637,0.0006206716778065076,0.0007015635141565561
pathway,0.0013577061035743997,0.0006584747101903789,0.0006992313933840208
areas,0.0016055572588205933,0.0009168807981300867,0.0006886764606905066
hypothalamus,0.0016507244791304158,0.0009662172458525385,0.0006845072332778773
anterior,0.0013273304391666707,0.0006440901376647787,0.000683240301501892
form,0.003745443073892664,0.0030634091464963793,0.0006820339273962846
contraindicated,0.0012530727431063178,0.0005750701523525265,0.0006780025907537913
males,0.0017902398890990974,0.0011139082247517808,0.0006763316643473166
types,0.0018106159211903595,0.0011426204187364446,0.0006679955024539148
pa,0.001976799580796653,0.0013098931017786384,0.0006669064790180146
plantar,0.0016863439569195474,0.0010270607501663557,0.0006592832067531917
inhibits,0.0011887784746146414,0.0005325104855307899,0.0006562679890838515
flow,0.005190878134291745,0.00454689896970671,0.0006439791645850351
uterus,0.002066075823650231,0.0014297898488356462,0.0006362859748145848
measure,0.0016319227559257854,0.0009964238289857518,0.0006354989269400336
spectrum,0.0016655763159760181,0.0010366540617653857,0.0006289222542106324
refeeding,0.0021525461312642013,0.0015241029582837478,0.0006284431729804535
chain,0.0021312452238700834,0.0015054465194659704,0.0006257987044041131
different,0.003584598638095902,0.002964951374503722,0.0006196472635921803
estradiol,0.0016507244791304158,0.0010414369852631625,0.0006092874938672533
adenomas,0.0014768806893979448,0.0008732565976310258,0.000603624091766919
100,0.0012464862164613658,0.0006549465508893192,0.0005915396655720466
allopurinol,0.001509005510072106,0.0009222192035488508,0.0005867863065232552
birefringence,0.001509005510072106,0.0009222192035488508,0.0005867863065232552
uric,0.001509005510072106,0.0009222192035488508,0.0005867863065232552
hypertensive,0.0010956046185705136,0.0005112974328001282,0.0005843071857703855
breast,0.004127278604982804,0.0035431007079322584,0.0005841778970505458
cyclophosphamide,0.00176833868178356,0.0011878683430007417,0.0005804703387828185
b12,0.0011153662112013095,0.0005370576464510358,0.0005783085647502737
macrocytic,0.0011153662112013095,0.0005370576464510358,0.0005783085647502737
active,0.0011530862653697032,0.0005750701523525265,0.0005780161130171767
natural,0.0011530862653697032,0.0005750701523525265,0.0005780161130171767
brain,0.003934316599869557,0.003361629387904938,0.0005726872119646191
syphilis,0.0016863439569195474,0.0011139082247517808,0.0005724357321677666
assessing,0.0015475659866227489,0.0009756456439831756,0.0005719203426395732
wave,0.002466989108475213,0.0019023975216638017,0.0005645915868114112
maternal,0.0013235794091560563,0.0007619716695003108,0.0005616077396557455
clostridium,0.0016155233156900217,0.0010542018023677632,0.0005613215133222584
fio2,0.0028244032934129585,0.0022644469367629674,0.0005599563566499911
water,0.003259043280713679,0.0027006956661633427,0.0005583476145503362
dialysis,0.0015475659866227489,0.0009964238289857518,0.0005511421576369971
59,0.001785473906622712,0.0012375433708684388,0.000547930535754273
a1,0.001785473906622712,0.0012375433708684388,0.000547930535754273
albuminuria,0.001785473906622712,0.0012375433708684388,0.000547930535754273
g3a,0.001785473906622712,0.0012375433708684388,0.000547930535754273
hygiene,0.0013129821288693896,0.0007659421594643941,0.0005470399694049955
failure,0.004597927668631604,0.004052353805428298,0.0005455738632033063
walls,0.001165737514869641,0.0006206716778065076,0.0005450658370631335
possibility,0.004480974490432275,0.003939680805988869,0.0005412936844434064
epithelium,0.0019874202472402232,0.0014493447921694923,0.0005380754550707309
additional,0.00370006712915717,0.003164574541365588,0.0005354925877915817
dominant,0.0015168302330352088,0.0009824301335779576,0.0005344000994572512
possibilities,0.0011177474030906497,0.0005852168785556493,0.0005325305245350004
filling,0.0016348751517766239,0.001104715006097826,0.0005301601456787978
initially,0.0028142565367631884,0.002285219930589396,0.0005290366061737922
osteosynthesis,0.0015080148595466155,0.0009795425950996253,0.0005284722644469902
afebrile,0.001170883140656137,0.0006440901376647787,0.0005267930029913584
regarding,0.002179332422685999,0.0016574290083991479,0.0005219034142868511
immunity,0.0013128271549002668,0.000804658603377084,0.0005081685515231828
orthosis,0.003017250992840901,0.0025119115316657504,0.0005053394611751506
young,0.0016629901184305514,0.0011588912096575027,0.0005040989087730487
available,0.0013140503660769446,0.000812253620681343,0.0005017967453956016
confirms,0.001509005510072106,0.0010089361529755205,0.0005000693570965855
marrow,0.007449251485641478,0.006949330771774489,0.000499920713866989
barrett,0.0015398687583030703,0.0010405840791904725,0.0004992846791125978
ring,0.0015398687583030703,0.0010405840791904725,0.0004992846791125978
jaw,0.0011151908498623817,0.0006206716778065076,0.0004945191720558741
insufficient,0.0018654365963760907,0.0013721061670992339,0.0004933304292768568
mitral,0.0013417992121859078,0.0008565748925007894,0.00048522431968511836
ischemic,0.0015870952170673532,0.001104715006097826,0.00048238021096952714
degeneration,0.0027708107581672766,0.00228976814988905,0.0004810426082782265
microhematuria,0.0017326062553612675,0.0012527087476548345,0.00047989750770643306
help,0.003963338165958157,0.003484433986026417,0.00047890417993174013
induration,0.0016258843334124224,0.0011506593374950263,0.0004752249959173961
severity,0.0016155233156900217,0.0011426204187364446,0.00047290289695357704
laparoscopy,0.003953599161593306,0.0034820330783044313,0.0004715660832888746
500,0.0012668649767862469,0.0008029251711788118,0.00046393980560743505
cap,0.0016155233156900217,0.0011582274707749457,0.000457295844915076
area,0.0034007223147341425,0.0029435710042485176,0.0004571513104856249
myeloma,0.0016150741106612722,0.0011704337571112986,0.00044464035354997364
bacilli,0.0014616823065646163,0.001022590254015294,0.0004390920525493224
initiated,0.0010826125358768916,0.0006440901376647787,0.0004385223982121129
effusion,0.0059101375579576785,0.00547164309616892,0.0004384944617887585
achieve,0.0015080148595466155,0.0010717191276834231,0.0004362957318631924
