entity,corpus,frequency,snomed_concept,depth
viral load,A,2,392965004,
visible,A,2,24054004,6
water,A,2,11713004,8
wegener's granulomatosis,A,2,390001000,
weight,A,2,726527001,4
who,A,2,103415007,5
17p deletions,A,1,,
2-year-old,A,1,,
22q11 deletion syndrome,A,1,449818005,12
4th thoracic nerve,A,1,,
abdomen,A,1,113345001,12
abdominal ct,A,1,,
abdominal mri,A,1,,
abdominal ultrasound,A,1,314618003,15
abnormal blood flow,A,1,1939005,6
abortion,A,1,70317007,16
abortions,A,1,161761007,11
abscess,A,1,44132006,6
absent,A,1,2667000,6
absolute,A,1,56136002,6
accumulation,A,1,87862008,14
accurate,A,1,263656005,5
acenocoumarol,A,1,79356008,8
acral parts,A,1,,
activation,A,1,33230000,11
acute gouty arthritis,A,1,36009009,
acute hemorrhagic dpv,A,1,,
acute pain crisis,A,1,,
acute pancreatitis,A,1,155834006,
acute phase reactants,A,1,,
acute renal failure,A,1,155855008,
acute respiratory acidosis,A,1,70644008,10
acute respiratory distress syndrome,A,1,67782005,15
acute respiratory failure,A,1,65710008,8
acute stage,A,1,,
acute urticaria,A,1,402408009,13
added,A,1,248690009,12
adenomas,A,1,189578007,
adenopathy,A,1,141342003,
adequate,A,1,88323005,6
administering,A,1,714418004,11
administration,A,1,152269009,
admission,A,1,367072004,
adrenal carcinoma,A,1,255035007,20
adrenal origin,A,1,17318002,12
advanced mammary,A,1,,
afebrile,A,1,86699002,7
affectation,A,1,,
affected area,A,1,22201000087104,7
affecting,A,1,123127006,
agonists,A,1,223063008,11
aino,A,1,90680003,14
albuminuria,A,1,29738008,11
aldosterone,A,1,42605004,18
aldosterone-producing adenoma,A,1,768470007,21
alleviate,A,1,225353007,5
allogeneic bone marrow transplantation,A,1,58390007,11
allopurinol,A,1,25246002,7
als,A,1,739123003,12
alterations,A,1,123646006,9
always,A,1,271818003,
alzheimer's disease,A,1,26929004,12
ama,A,1,416413003,12
ambiguous,A,1,900000000000484002,6
amenorrhea,A,1,14302001,15
amount,A,1,246205007,5
amoxicillin,A,1,27658006,10
amputation,A,1,81723002,6
amsterdam criteria,A,1,,
amyloidosis,A,1,154769007,
analgesia,A,1,38433004,11
analgesic effect,A,1,,
analytical hormonal,A,1,,
analytical markers,A,1,,
anatomy,A,1,260717007,6
androgens,A,1,346324007,6
anesthesia,A,1,33653009,10
animal,A,1,39866004,3
animal aggression,A,1,,
animal births,A,1,,
animals,A,1,387961004,5
anisocytosis,A,1,57241006,6
annular pattern,A,1,,
anomalies,A,1,205589009,
antecedents,A,1,,
anterior,A,1,36592002,
anterior ischemic optic neuropathy,A,1,404659001,15
anteriorly,A,1,443100003,6
anti-gbm antibodies,A,1,,
anti-proteinase 3 antibodies,A,1,,
anti-smooth muscle,A,1,121122009,21
anti-tnf alpha,A,1,,
antibiograms,A,1,,
antibiotherapy,A,1,,
antibiotic-releasing substances,A,1,,
antibiotics,A,1,324287006,
antibody,A,1,68498002,17
anticoagulation,A,1,260678004,6
antidepressant drug,A,1,283012004,
antiepileptic drugs,A,1,,
antirna polymerase iii antibodies,A,1,,
anxiety,A,1,38237000,9
anyone,A,1,,
aphasia,A,1,87486003,6
aplasia,A,1,45486003,6
appearance,A,1,43175008,9
architectural alterations,A,1,,
ards,A,1,67782005,15
area,A,1,42798000,6
arterial,A,1,263954005,7
arterial hypertension,A,1,39018007,14
arteritic,A,1,402862000,15
arthralgias,A,1,,
arthrokinetic,A,1,,
aspergillus,A,1,2429008,12
aspiration,A,1,68052005,9
assess,A,1,142591008,
assessable,A,1,424555008,9
assessing,A,1,1069811000000104,8
associated cause,A,1,,
associated in,A,1,,
associated infection,A,1,413590008,7
associated to,A,1,1373746006,21
association,A,1,263534001,4
asynchronous limb,A,1,,
atlas,A,1,14806007,21
atopic,A,1,156331003,
atria,A,1,263960005,19
atrophic,A,1,255280000,6
atrophy,A,1,13331008,6
attack,A,1,216299002,4
attending,A,1,153682004,
attitude,A,1,225464009,6
atypical,A,1,112231000,6
auriculotemporal nerve,A,1,12110008,21
auriculotemporal syndrome,A,1,45294007,12
autoimmune origin,A,1,,
autoimmune phenomena,A,1,,
autologous transplant,A,1,1332249003,11
autosomal dominant disorder,A,1,,
azithromycin,A,1,96034006,7
b,A,1,257961005,7
b-cll,A,1,277473004,21
bacteria,A,1,41146007,6
bacterial agent,A,1,111117008,11
bacterial meningitis,A,1,95883001,11
bacterium,A,1,41146007,6
barrett's esophagus,A,1,76355008,
basal,A,1,57195005,6
basement membrane,A,1,68989006,6
basic semiology,A,1,,
be,A,1,138037009,
beta-hcg,A,1,396700001,14
bicarbonate,A,1,68615006,15
bilateral,A,1,51440002,7
bilateral pulmonary infiltrates,A,1,,
biliary tract malformations,A,1,,
bilirubinemia,A,1,14783006,11
binding,A,1,257768005,7
biochemically confirmed,A,1,,
biofilm,A,1,1359925001,20
biological,A,1,12893009,5
biological improvement,A,1,,
biopsies,A,1,246444001,5
biopsy-aspirate,A,1,,
birefringence,A,1,250532000,3
births,A,1,440425000,6
bitemporal hemianopsia,A,1,,
blasts,A,1,109999001,17
bleeding,A,1,303123004,
bleedings,A,1,,
blindly,A,1,,
blindness,A,1,139548004,
blistering,A,1,339008,9
blood flow,A,1,58190003,8
bloody diarrhea,A,1,95545007,14
bnp,A,1,407060002,18
body creams,A,1,,
body image,A,1,405045001,7
body surface,A,1,102495000,
bone age,A,1,123980006,8
bone alterations,A,1,,
bone defect,A,1,234687006,19
bone marrow aspirate,A,1,389761003,
bones,A,1,128530007,12
bony walls,A,1,,
botulinum toxin,A,1,129470006,7
bp,A,1,332752000,
brain,A,1,12738006,14
brain abscesses,A,1,724543006,14
brain tumors,A,1,,
bread,A,1,226559002,6
breakfast time,A,1,307160001,7
breast asymmetry,A,1,140645002,
breast biopsy,A,1,142370004,
breast cancer,A,1,254837009,14
breast imaging reporting,A,1,146611000146107,5
breast ultrasound,A,1,468044008,9
broad,A,1,249334000,
broad-spectrum antibiotherapy,A,1,,
bronchiolitis,A,1,4120002,16
bronchoaspiration,A,1,,
brown-sequard,A,1,721404006,18
bsa,A,1,388333004,23
burden,A,1,1179760003,9
burning,A,1,62404004,6
burns,A,1,211657006,
but,A,1,158704008,
c1 root,A,1,,
c4,A,1,75800005,7
c5,A,1,59397002,7
c7,A,1,209064001,21
c8,A,1,244655006,21
calcium-sensitive receptor,A,1,,
calcium/creatinine urine ratio,A,1,,
calculate,A,1,,
calm,A,1,366978007,
campimetric deficits,A,1,,
cap,A,1,228254002,6
cardiac,A,1,150755000,
cardiogenic shock criteria,A,1,,
caroli's disease,A,1,111331000,16
carpal tunnel,A,1,64630009,17
carpus,A,1,8205005,13
carrier,A,1,29679002,6
carriers,A,1,,
cattle,A,1,79058000,8
cavernous sinus,A,1,18782006,31
cavities,A,1,303928007,18
cd4,A,1,143461009,
ceftriaxone,A,1,19841008,10
celiac plexus,A,1,4150005,19
cell-mediated immunity,A,1,190989004,
cellular edema,A,1,88270009,7
cellularity,A,1,188581007,
celso's kerion,A,1,,
centimeters,A,1,699502000,15
central diabetes insipidus,A,1,154699008,
central precocious,A,1,237816004,13
central retinal vein,A,1,280927000,38
central serous chorioretinopathy,A,1,312956001,17
cerebral blood flow,A,1,250847003,7
cerebral edema,A,1,2032001,9
cerebral perfusion pressure,A,1,250846007,7
cerebrospinal fluid,A,1,65216001,13
cervical incompetence,A,1,156172008,
cervical nerve,A,1,360497008,18
cervical roots,A,1,,
cervix,A,1,71252005,25
cesarean section,A,1,11466000,20
chain myeloma,A,1,188721008,
challenge,A,1,142185002,
characteristic fundus,A,1,,
cherry red spot,A,1,49473001,11
chest,A,1,51185008,11
chest trauma,A,1,269340000,
chiasm,A,1,230516008,
chicken meat,A,1,703932008,13
child,A,1,393494009,
child's,A,1,138336005,
children,A,1,151334007,
chlamydial urethritis,A,1,236683007,15
chordal,A,1,371813006,17
chronic inflammatory infiltrate,A,1,,
chronic lesion,A,1,,
chronic lymphocytic leukemia b (b-clll),A,1,,
chronic osteomyelitis,A,1,156791003,
ciemy type c,A,1,,
circulating immunocomplexes,A,1,,
circumcision,A,1,149775006,
circumferential,A,1,64692003,
claude bernard,A,1,770626007,20
clearer,A,1,137012002,
clinic,A,1,257585005,5
clinical condition,A,1,,
clinical data,A,1,701002007,10
clinical expression,A,1,,
clinical hematology,A,1,394803006,6
clinical manifestations,A,1,405635002,10
clinical presentation,A,1,,
clinical suspicion,A,1,,
clinical worsening,A,1,,
closed,A,1,29179001,6
closed osteosynthesis,A,1,,
clostridium infection,A,1,186407003,
clot,A,1,75753009,6
cobb angle,A,1,285285000,7
cold,A,1,13645005,14
collagen,A,1,61472002,16
collagen fibers,A,1,320991003,13
collagen layer,A,1,,
collagen-producing,A,1,,
colonic mucosa,A,1,704910006,8
combination,A,1,89780004,6
comorbidity,A,1,762713009,3
compartment,A,1,111245009,8
compensatory,A,1,33325001,16
complementary examinations,A,1,,
complementary study,A,1,,
complex partial seizures,A,1,73714002,12
complicated question,A,1,,
compress,A,1,1255521008,6
compression,A,1,71173004,6
compromise,A,1,,
compromised,A,1,284670008,6
concomitant,A,1,79970003,5
conduction disturbances,A,1,,
confusional picture,A,1,,
conization,A,1,108941000119102,7
consensus,A,1,1287646007,3
conservation,A,1,385688007,6
consistent with,A,1,7883008,3
constant,A,1,420341009,3
contact with,A,1,11723008,4
contents,A,1,276824008,5
continuing,A,1,217733006,8
continuity,A,1,277052006,5
contractions,A,1,87989004,
contralateral pain,A,1,,
controls,A,1,285943005,10
convoluted,A,1,47573009,6
cool,A,1,427733005,9
coombs test,A,1,708130001,6
coombs' test,A,1,,
copies,A,1,413913003,5
core,A,1,260235002,6
correction,A,1,389431007,
corticoids,A,1,95919007,15
cortisol,A,1,56423005,19
costal volet,A,1,,
cough,A,1,49727002,6
coverage,A,1,100270006,6
coxarthrosis,A,1,203749004,9
crises,A,1,1172698005,13
crisis,A,1,32937002,5
criterion,A,1,704230004,3
crohn's disease,A,1,34000006,13
crp,A,1,61425002,17
crvo,A,1,68478007,19
crying,A,1,139499009,
crypts,A,1,66532008,28
crystals,A,1,250448002,12
cultures,A,1,,
curative,A,1,373808002,8
cushing's,A,1,154705004,
cutaneous abscesses,A,1,,
cutoff,A,1,703497008,8
cystic changes,A,1,367647000,7
cytopenias,A,1,,
cytotoxic,A,1,734873001,4
damage,A,1,37782003,5
data sheet,A,1,,
data system,A,1,1362106001,3
dealing,A,1,228441006,10
deaths,A,1,246210006,7
debride,A,1,,
debridement,A,1,36777000,6
decline,A,1,154091000119106,4
decreased,A,1,1250004,7
deep endometriosis,A,1,724457006,13
deep thrombosis,A,1,,
deep vein thrombosis,A,1,195403006,
deformity,A,1,6081001,5
degree,A,1,246173007,6
delay surgery,A,1,,
delivery,A,1,66348005,8
dementia,A,1,52448006,9
dementias,A,1,154845000,
density,A,1,125146005,4
dental malocclusion,A,1,,
deposited,A,1,,
deposition,A,1,46595003,5
deposits,A,1,40449001,12
derma,A,1,100321009,6
dermatomyositis,A,1,156456005,
desquamation,A,1,14411002,8
destroyed,A,1,148908005,
destruction,A,1,64597002,4
detect,A,1,397592007,6
development,A,1,103378002,3
develops,A,1,370789001,7
dexamethasone,A,1,116568000,19
diabetes,A,1,162661000,
diabetes insipidus,A,1,15771004,12
diabetes mellitus,A,1,191044006,
diabetic,A,1,138058003,
diabetic neuropathies,A,1,,
diagnostic criterion,A,1,,
diagnostic laparoscopy,A,1,76735009,17
diagnostic possibilities,A,1,,
diagnostic process,A,1,,
diagnostic scheme,A,1,,
dialysis,A,1,1231460007,3
died,A,1,162851009,
differentiation,A,1,263522009,7
dilatation,A,1,25322007,5
direct response,A,1,,
direction,A,1,260672003,4
disappearance,A,1,105417001,5
disease i,A,1,156139008,
diseases,A,1,64572001,2
dislocation,A,1,87642003,7
distal radius,A,1,75129005,20
distance,A,1,246132006,6
distortion,A,1,20967005,6
distribution,A,1,246457009,4
dm-2,A,1,,
dog,A,1,69986009,16
dopler ultrasound,A,1,,
dose-dependent,A,1,,
doses,A,1,426519003,6
dosing,A,1,1162388008,8
dpv,A,1,,
drug intoxication,A,1,191488007,
dry,A,1,13880007,6
dumping syndrome,A,1,266458008,
duration,A,1,103335007,5
dyspnea,A,1,49233005,
e antigen rules,A,1,,
e. coli,A,1,112283007,14
earliest,A,1,,
early age,A,1,788913001,18
early stages,A,1,,
ears,A,1,95515009,16
ec,A,1,101580001,6
ecg alterations,A,1,,
echo,A,1,699390004,12
echo-doppler,A,1,,
echoendoscopy,A,1,,
ectopic,A,1,298109001,6
eczema,A,1,156326000,
edema,A,1,79654002,6
effect,A,1,253861007,4
elderly,A,1,105437002,7
elderly women,A,1,,
electively,A,1,,
electrocardiographic changes,A,1,,
electrolyte disturbances,A,1,206681005,17
eliminate,A,1,104137002,14
emergency,A,1,25876001,6
emergency escharotomy,A,1,,
emergency reasoning,A,1,,
emg,A,1,153454001,
emilio,A,1,,
empyema,A,1,66696003,8
endemic area points,A,1,,
endocrine block,A,1,,
endometrial,A,1,176874006,
endometrial biopsy,A,1,176885008,
endometrial cytology,A,1,468999002,9
endophthalmitis,A,1,1847009,18
endoscopic,A,1,129238008,5
endothoracic tube,A,1,,
enlargement,A,1,56246009,5
enophthalmos,A,1,80093006,12
ent,A,1,118530006,4
enteral,A,1,225770002,7
entrapment,A,1,363563002,6
entry,A,1,394404009,
environment,A,1,276339004,2
eo,A,1,18669006,4
eosinophilic esophagitis,A,1,235599003,13
eosinophils,A,1,264832001,11
epiretinal membrane,A,1,193391002,
epithelial denudation,A,1,,
er,A,1,33761008,8
erosion,A,1,15498001,7
erythematous-edematous,A,1,,
escherichia coli,A,1,112283007,14
esophageal,A,1,19216006,11
esophageal ring,A,1,66889002,12
esr,A,1,165466008,10
estradiol,A,1,126172005,17
estrogen,A,1,41598000,15
evaluation,A,1,122503006,5
evanescent,A,1,312951006,18
evanescent lesions,A,1,,
eventual,A,1,403225001,9
everything,A,1,225473001,9
evolution-,A,1,,
evolve,A,1,,
evolving,A,1,59381007,6
exacerbation,A,1,367110001,
exaltation,A,1,47544006,8
examiner,A,1,12108006,11
exanthema,A,1,112625008,6
excretion,A,1,63911002,7
exophthalmos,A,1,18265008,12
experience,A,1,281141001,
expiration,A,1,58322009,7
exploration,A,1,122458006,9
exploratory signs,A,1,,
exposed,A,1,24932003,4
exposed to,A,1,24932003,4
expression,A,1,10012005,6
extemis,A,1,,
extended,A,1,288467006,6
extension,A,1,255536004,6
external fixator,A,1,278280003,10
extracellular fluid,A,1,55450009,13
face,A,1,89545001,13
factor v,A,1,60208008,17
fail,A,1,158279003,
fails,A,1,142797009,
false negatives,A,1,,
familial hypercalcemia,A,1,,
familial hypocalciuric hypercalcemia,A,1,237885008,15
family history,A,1,137667000,
family history of infections,A,1,,
family-maternal history,A,1,,
farm,A,1,257609008,5
farmers,A,1,137191008,
fat,A,1,256674009,12
father,A,1,393492008,
febrile fever,A,1,,
females,A,1,8234004,10
fetal,A,1,233611006,
fetal extraction,A,1,,
filtration rate,A,1,80274001,9
findings,A,1,393473006,
fio2,A,1,250774007,7
fish,A,1,90580008,8
fixation,A,1,1431002,4
flow cytometry,A,1,64444005,10
fluid,A,1,33463005,3
follow-up,A,1,308273005,3
forces,A,1,136941000,
forewarned,A,1,,
fresh,A,1,261013005,5
frey's syndrome,A,1,45294007,12
functional,A,1,40143009,6
fundamental types,A,1,,
furosemide,A,1,81609008,7
g- bacteria,A,1,,
g3a,A,1,,
gabapentin,A,1,108402001,7
general symptoms,A,1,139079008,
generalized polyp,A,1,,
genetic pathologies,A,1,,
genetic syndrome,A,1,290028006,5
genital secretions,A,1,,
gestational trophoblastic disease,A,1,5759005,17
gestational trophoblastic neoplasm,A,1,417475006,19
glasgow,A,1,51190006,18
glomerular basement membrane,A,1,390268001,
glomerulonephritis,A,1,36171008,15
glp-1,A,1,43004008,19
glucose consumption,A,1,,
gmn,A,1,,
goiter,A,1,3716002,11
good control,A,1,147993008,
goodpasture's syndrome,A,1,195351002,
granted,A,1,228131001,9
granulomatosis,A,1,44328006,9
graves' disease,A,1,154655004,
griseofulvin,A,1,64349004,10
group,A,1,246261001,5
gypsum,A,1,463129007,8
habitual test,A,1,,
half-life,A,1,304283002,7
halo sign,A,1,29851005,14
hands,A,1,141636008,
hbsag,A,1,166105007,
hcg,A,1,59433001,19
hcg dosage,A,1,,
healthy adults,A,1,,
healthy child,A,1,102506008,9
heavy bleeding,A,1,351814001,17
hemato-nephro,A,1,,
hematocyte,A,1,,
hemianopsia,A,1,79694000,11
hemisection,A,1,23580000,19
hemochromatosis,A,1,86781004,11
hemodynamic instability,A,1,422773005,4
hemolysis,A,1,73320003,10
hemophilia,A,1,90935002,8
hemopoietic progenitors,A,1,,
hemorrhage,A,1,50960005,5
hemorrhagic diseases,A,1,,
hemorrhagic type,A,1,,
hemothorax,A,1,31892009,12
her2 +,A,1,,
her2 + (,A,1,,
her2+/,A,1,,
her2-,A,1,427685000,19
heterogeneity,A,1,,
heterozygosis,A,1,,
heterozygous,A,1,165733008,
high jugular pressure,A,1,,
high-risk,A,1,316236005,5
histology,A,1,145586000,
hla-identical sibling,A,1,,
hormonal deficits,A,1,,
hormone receptors,A,1,444901007,5
horner syndrome,A,1,192922002,
hospital admissions,A,1,160742004,
hunger,A,1,55350005,6
hyper-ige,A,1,191009009,14
hyperkalemic emergency,A,1,,
hypertensive,A,1,194756002,
hyperthyroid,A,1,,
hyperthyroidism,A,1,34486009,11
hyperuricemic,A,1,46785007,16
hyperventilation,A,1,68978004,6
hypo/manic shift,A,1,,
hypotension,A,1,155487000,
