case_file,snomed_concept_a,snomed_concept_b,depth_a,depth_b,depth_gap_abs,isa_broader_side,entity_example_a,entity_example_b
case_049.txt,88714009,234532001,8,7,1,model_concept_broader,transient hypogammaglobulinemia of infancy,immunodeficiency disorder
case_052.txt,6042001,10446001,12,13,1,human_concept_broader,pulmonary aspergillosis,aspergilloma
case_054.txt,9221009,118292001,21,3,18,model_concept_broader,surgical treatment,removal
case_054.txt,234687006,71861002,19,4,15,model_concept_broader,bone defect,placement
case_054.txt,1431002,1204449003,4,17,13,human_concept_broader,fixation,tibial fracture
case_054.txt,64572001,724176001,2,13,11,human_concept_broader,disease,growth factors
case_054.txt,31511007,18867006,12,3,9,model_concept_broader,pseudoarthrosis,healing
case_054.txt,8451008,40388003,11,5,6,model_concept_broader,intramedullary nail,implant
case_054.txt,87784001,128530007,6,12,6,human_concept_broader,soft tissues,bone
case_054.txt,87784001,72651009,6,12,6,human_concept_broader,soft tissues,nail
case_054.txt,278280003,40388003,10,5,5,model_concept_broader,external fixator,implant
case_054.txt,40388003,278280003,5,10,5,human_concept_broader,implant,external fixator
case_056.txt,111395007,15771004,15,12,3,model_concept_broader,nephrogenic diabetes insipidus,diabetes insipidus
case_056.txt,77671006,126189002,17,20,3,human_concept_broader,adh,desmopressin
case_057.txt,64572001,197284004,2,14,12,human_concept_broader,diseases,autoimmune hepatitis
case_057.txt,64572001,80515008,2,12,10,human_concept_broader,diseases,hepatomegaly
case_058.txt,720982007,116223007,20,4,16,model_concept_broader,midface,complication
case_058.txt,87642003,112638000,7,5,2,model_concept_broader,dislocation,displacement
case_059.txt,113091000,122503006,11,5,6,model_concept_broader,mri,evaluation
case_062.txt,2533004,395246009,2,9,7,human_concept_broader,drug,escitalopram
case_062.txt,2533004,36236003,2,7,5,human_concept_broader,drug,antidepressant
case_066.txt,237851007,43339004,12,11,1,model_concept_broader,hypokalemic,hypokalemia
case_067.txt,3723001,67224007,10,18,8,human_concept_broader,arthritis,reiter's syndrome
case_067.txt,67224007,3723001,18,10,8,model_concept_broader,reiter's syndrome,arthritis
case_067.txt,67224007,31822004,18,12,6,model_concept_broader,reiter's syndrome,urethritis
case_067.txt,67224007,9826008,18,12,6,model_concept_broader,reiter's syndrome,conjunctivitis
case_067.txt,236683007,31822004,15,12,3,model_concept_broader,chlamydial urethritis,urethritis
case_068.txt,51185008,39607008,11,15,4,human_concept_broader,thorax,lung
case_068.txt,49755003,19130008,3,6,3,human_concept_broader,lesion,trauma
case_068.txt,51185008,78904004,11,13,2,human_concept_broader,thorax,chest wall
case_068.txt,262784001,210075003,15,16,1,human_concept_broader,pulmonary contusion,lung contusion
case_071.txt,66019005,59126009,7,14,7,human_concept_broader,limb,right arm
case_071.txt,66019005,85562004,7,13,6,human_concept_broader,limb,hand
case_071.txt,48333001,77140003,8,9,1,human_concept_broader,burn,superficial burn
case_072.txt,250546000,278297009,16,13,3,model_concept_broader,po2,blood gas analysis
case_072.txt,250564007,278297009,16,13,3,model_concept_broader,pco2,blood gas analysis
case_072.txt,250546000,25579001,16,17,1,human_concept_broader,po2,pao2
case_072.txt,250564007,25284008,16,15,1,model_concept_broader,pco2,paco2
case_072.txt,39607008,3341006,15,16,1,human_concept_broader,lung,right lung
case_073.txt,31574009,88610006,15,13,2,model_concept_broader,systolic murmur,murmur
case_073.txt,31574009,71201008,15,16,1,human_concept_broader,systolic murmur,holosystolic
case_074.txt,122503006,241045007,5,18,13,human_concept_broader,evaluation,styloid process
case_074.txt,64572001,238149007,2,6,4,human_concept_broader,disease,inflammatory response
case_076.txt,788913001,64572001,17,2,15,model_concept_broader,early age,syndrome
case_076.txt,6204001,64572001,13,2,11,model_concept_broader,juvenile myoclonic epilepsy,syndrome
case_076.txt,73714002,64572001,12,2,10,model_concept_broader,complex partial seizures,syndrome
case_076.txt,373673007,64572001,10,2,8,model_concept_broader,characterized,syndrome
case_076.txt,6204001,84757009,13,9,4,model_concept_broader,juvenile myoclonic epilepsy,epilepsy
case_076.txt,51042001,392521001,5,4,1,model_concept_broader,history,history of
case_076.txt,6204001,37356005,13,12,1,model_concept_broader,juvenile myoclonic epilepsy,myoclonic seizures
case_078.txt,2492009,427698009,6,8,2,human_concept_broader,malnutrition,refeeding syndrome
case_078.txt,427698009,2492009,8,6,2,model_concept_broader,refeeding syndrome,malnutrition
case_079.txt,25121006,73320003,18,10,8,model_concept_broader,autoimmune hemolytic anemia,hemolysis
case_079.txt,73320003,25121006,10,18,8,human_concept_broader,hemolysis,aiha
case_079.txt,25121006,61261009,18,14,4,model_concept_broader,autoimmune hemolytic anemia,hemolytic anemia
case_079.txt,61261009,25121006,14,18,4,human_concept_broader,hemolytic anemia,aiha
case_079.txt,61261009,73320003,14,10,4,model_concept_broader,hemolytic anemia,hemolysis
case_079.txt,73320003,61261009,10,14,4,human_concept_broader,hemolysis,hemolytic anemia
case_079.txt,45486003,418560003,6,4,2,model_concept_broader,aplasia,absence
case_079.txt,87612001,2522002,14,15,1,human_concept_broader,blood,extravascular
case_082.txt,102518004,102519007,7,8,1,human_concept_broader,age,apparent
case_083.txt,42134006,69456008,13,12,1,model_concept_broader,metamorphopsia,visual distortions
case_086.txt,64572001,19311003,2,15,13,human_concept_broader,disease,collagenous colitis
case_086.txt,64572001,64766004,2,15,13,human_concept_broader,disease,chronic ulcerative colitis
case_086.txt,64572001,19719003,2,14,12,human_concept_broader,disease,lymphocytic infiltration
case_086.txt,64572001,24526004,2,11,9,human_concept_broader,disease,ibd
case_086.txt,64572001,373673007,2,10,8,human_concept_broader,disease,characterized
case_086.txt,19311003,24526004,15,11,4,model_concept_broader,collagenous colitis,ibd
case_086.txt,34000006,24526004,13,11,2,model_concept_broader,crohn's disease,ibd
case_086.txt,13331008,446689007,6,7,1,human_concept_broader,atrophy,epithelial atrophy
case_088.txt,113091000,71388002,11,1,10,model_concept_broader,mri,procedure
case_089.txt,446722008,122503006,15,5,10,model_concept_broader,tropism,evaluation
case_089.txt,78277001,52718009,23,24,1,human_concept_broader,temporal lobe,left temporal lobe
case_090.txt,255409004,224526002,7,6,1,model_concept_broader,pregnant woman,woman
case_092.txt,246188002,21454007,1,16,15,human_concept_broader,finding,subarachnoid hemorrhage
case_092.txt,64572001,21454007,2,16,14,human_concept_broader,syndrome,subarachnoid hemorrhage
case_092.txt,246188002,12900003,1,13,12,human_concept_broader,finding,third nerve palsy
case_092.txt,64572001,12900003,2,13,11,human_concept_broader,syndrome,third nerve palsy
case_092.txt,246188002,95883001,1,11,10,human_concept_broader,finding,bacterial meningitis
case_092.txt,246188002,129679001,1,10,9,human_concept_broader,finding,ct scan
case_092.txt,64572001,95883001,2,11,9,human_concept_broader,syndrome,bacterial meningitis
case_092.txt,113091000,363679005,11,8,3,model_concept_broader,mri,imaging
case_092.txt,4147007,108369006,5,8,3,human_concept_broader,mass,tumor
case_092.txt,367647000,4147007,7,5,2,model_concept_broader,cystic changes,mass
case_092.txt,367327000,246100006,6,5,1,model_concept_broader,sudden onset,onset
case_092.txt,50960005,8573003,5,6,1,human_concept_broader,hemorrhage,acute bleeding
case_093.txt,5759005,237251001,17,19,2,human_concept_broader,gestational trophoblastic disease,gestational trophoblastic neoplasia
case_093.txt,35105006,75540009,7,8,1,human_concept_broader,increased,elevated
case_095.txt,11639007,49755003,11,3,8,model_concept_broader,puncture,lesion
case_095.txt,16310003,122503006,11,5,6,model_concept_broader,ultrasound,evaluation
case_095.txt,27925004,49755003,6,3,3,model_concept_broader,nodule,lesion
case_095.txt,27925004,4147007,6,5,1,model_concept_broader,nodule,mass
case_096.txt,706970001,55342001,20,4,16,model_concept_broader,triple negative,neoplasia
case_096.txt,427685000,55342001,19,4,15,model_concept_broader,her2,neoplasia
case_096.txt,254837009,55342001,14,4,10,model_concept_broader,breast cancer,neoplasia
case_096.txt,254837009,422399001,14,20,6,human_concept_broader,breast cancer,infiltrating ductal carcinoma
case_096.txt,254837009,427685000,14,19,5,human_concept_broader,breast cancer,her2-positive
case_097.txt,230690007,371041009,13,16,3,human_concept_broader,stroke,embolic stroke
case_099.txt,193030005,64572001,18,2,16,model_concept_broader,variants,disease
case_099.txt,26929004,64572001,12,2,10,model_concept_broader,alzheimer's disease,disease
case_099.txt,26929004,386806002,12,8,4,model_concept_broader,alzheimer's disease,cognitive deficit
case_102.txt,116566001,116602009,10,18,8,human_concept_broader,steroid,prednisone
case_102.txt,32273002,70786006,18,10,8,model_concept_broader,idiopathic thrombocytopenic purpura,thrombocytopenia
case_103.txt,51282000,61853006,15,16,1,human_concept_broader,vertebra,spinal canal
case_106.txt,64572001,279049005,2,15,13,human_concept_broader,disease,post-surgery
case_106.txt,64572001,66931009,2,14,12,human_concept_broader,disease,hypercalcemia
case_106.txt,237885008,66931009,15,14,1,model_concept_broader,familial hypocalciuric hypercalcemia,hypercalcemia
case_108.txt,64572001,413239008,2,9,7,human_concept_broader,disease,surgical intervention
case_109.txt,41006004,394924000,9,10,1,human_concept_broader,depression,depressive symptoms
case_110.txt,81609008,350612007,7,8,1,human_concept_broader,furosemide,oral furosemide
case_112.txt,66696003,255316004,8,6,2,model_concept_broader,empyema,purulent
case_113.txt,41146007,5933001,6,14,8,human_concept_broader,bacterium,clostridium difficile
case_113.txt,41146007,264395009,6,3,3,model_concept_broader,bacterium,microorganism
case_113.txt,62315008,301469002,12,14,2,human_concept_broader,diarrhea,antibiotic-associated diarrhea
case_114.txt,75129005,8205005,20,13,7,model_concept_broader,distal radius,wrist
case_114.txt,49755003,5383004,3,9,6,human_concept_broader,lesion,fracture-dislocation
case_114.txt,49755003,19130008,3,6,3,human_concept_broader,lesion,injury
case_114.txt,62413002,75129005,17,20,3,human_concept_broader,radius,distal radius
case_114.txt,49755003,6081001,3,5,2,human_concept_broader,lesion,deformity
case_117.txt,64572001,1237341006,2,21,19,human_concept_broader,disease,pancreatic neoplasm
case_117.txt,64572001,59282003,2,13,11,human_concept_broader,disease,pulmonary embolism
case_119.txt,49755003,51608009,3,14,11,human_concept_broader,lesion,serous cystadenoma
case_119.txt,246188002,80608005,1,10,9,human_concept_broader,finding,appropriate
case_119.txt,49755003,86049000,3,10,7,human_concept_broader,lesion,malignancy
case_119.txt,246188002,308273005,1,3,2,human_concept_broader,finding,follow-up
case_120.txt,61261009,127059001,14,21,7,human_concept_broader,hemolytic anemia,immune hemolytic anemia
case_120.txt,25121006,61261009,18,14,4,model_concept_broader,autoimmune hemolytic anemia,hemolytic anemia
case_120.txt,25121006,127059001,18,21,3,human_concept_broader,autoimmune hemolytic anemia,immune hemolytic anemia
case_121.txt,55607006,89362005,5,9,4,human_concept_broader,problem,weight loss
case_122.txt,285420006,64572001,22,2,20,model_concept_broader,iga myeloma,disorder
case_122.txt,285420006,277576009,22,15,7,model_concept_broader,iga myeloma,plasma cell disorder
