entity,snomed_concept,depth_a,depth_b,depth_diff
temporal lobe,78277001,23,23,0
tests,272393004,6,6,0
thrombocytopenia,70786006,10,10,0
ticlopidine,108971003,6,6,0
tolerance,71412006,7,7,0
toxicity,75478009,4,4,0
toxicoderma,95326004,10,10,0
tp53,1260406003,17,17,0
treated,28995006,3,3,0
treatments,386439008,8,8,0
tsh,65428006,19,19,0
turner syndrome,38804009,19,19,0
ultrasound,16310003,11,11,0
unstable,263922001,6,6,0
uric acid,1710001,17,17,0
urinalysis,27171005,12,12,0
urine,78014005,14,14,0
ventricular extrasystoles,17338001,15,15,0
vertical gaze,246773002,12,12,0
visual disturbances,194656007,12,12,0
visual loss,40031005,12,12,0
vitamin b12,259664005,18,18,0
walking,63448001,17,17,0
warfarin,48603004,8,8,0
weeks,258705008,5,5,0
weight,726527001,4,4,0
weight gain,8943002,9,9,0
weight loss,89362005,9,9,0
wet,17461003,6,6,0
wet form,39439008,12,12,0
wiskott-aldrich syndrome,36070007,20,20,0
woman,224526002,6,6,0
worsening,230993007,7,7,0
wound,13924000,8,8,0
year,258707000,5,5,0
years,258707000,5,5,0
young,84422007,6,6,0
