case_file,corpus_side,entity,mention_count,snomed_concept,depth,mapping_status,context_sentence
case_001.txt,B,bleeding,1,,,unmapped,"The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_001.txt,B,case,1,398241000,3,mapped,"The family history of similar problems could potentially implicate an inherited condition, although no specific diagnosis is mentioned in the uncle's case."
case_001.txt,B,clotting factor viii,1,40598008,15,mapped,"The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_001.txt,B,coagulation disorder,1,64779008,6,mapped,"The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_001.txt,B,combination,1,89780004,6,mapped,"While other disorders such as Marfan syndrome, Ehlers-Danlos disease, Von Willebrand's disease, and Bernard-Soulier disease may present with joint issues and bleeding tendencies, the unique combination of factors points towards Hemophilia A"
case_001.txt,B,condition,1,260905004,4,mapped,"The family history of similar problems could potentially implicate an inherited condition, although no specific diagnosis is mentioned in the uncle's case."
case_001.txt,B,deficiency,1,47563007,6,mapped,"The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_001.txt,B,diagnosis,1,439401001,3,mapped,"The family history of similar problems could potentially implicate an inherited condition, although no specific diagnosis is mentioned in the uncle's case."
case_001.txt,B,diagnostic hypothesis,1,,,unmapped,"Based on the presented vignette, the most probable diagnostic hypothesis appears to be Hemophilia A."
case_001.txt,B,disorders,1,64572001,2,mapped,"While other disorders such as Marfan syndrome, Ehlers-Danlos disease, Von Willebrand's disease, and Bernard-Soulier disease may present with joint issues and bleeding tendencies, the unique combination of factors points towards Hemophilia A"
case_001.txt,B,ehlers-danlos disease,1,,,unmapped,"While other disorders such as Marfan syndrome, Ehlers-Danlos disease, Von Willebrand's disease, and Bernard-Soulier disease may present with joint issues and bleeding tendencies, the unique combination of factors points towards Hemophilia A"
case_001.txt,B,factors,1,,,unmapped,"While other disorders such as Marfan syndrome, Ehlers-Danlos disease, Von Willebrand's disease, and Bernard-Soulier disease may present with joint issues and bleeding tendencies, the unique combination of factors points towards Hemophilia A"
case_001.txt,B,family history,1,,,unmapped,"The family history of similar problems could potentially implicate an inherited condition, although no specific diagnosis is mentioned in the uncle's case."
case_001.txt,B,hemophilia a.,1,,,unmapped,"Based on the presented vignette, the most probable diagnostic hypothesis appears to be Hemophilia A. The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagula…"
case_001.txt,B,inherited,1,254220005,21,mapped,"The family history of similar problems could potentially implicate an inherited condition, although no specific diagnosis is mentioned in the uncle's case."
case_001.txt,B,joint bleeding,1,,,unmapped,"The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_001.txt,B,joint issues,1,,,unmapped,"While other disorders such as Marfan syndrome, Ehlers-Danlos disease, Von Willebrand's disease, and Bernard-Soulier disease may present with joint issues and bleeding tendencies, the unique combination of factors points towards Hemophilia A"
case_001.txt,B,marfan syndrome,1,19346006,9,mapped,"While other disorders such as Marfan syndrome, Ehlers-Danlos disease, Von Willebrand's disease, and Bernard-Soulier disease may present with joint issues and bleeding tendencies, the unique combination of factors points towards Hemophilia A"
case_001.txt,B,problems,1,,,unmapped,"The family history of similar problems could potentially implicate an inherited condition, although no specific diagnosis is mentioned in the uncle's case."
case_001.txt,B,prolonged,1,255224006,6,mapped,"The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_001.txt,B,tendencies,1,,,unmapped,"While other disorders such as Marfan syndrome, Ehlers-Danlos disease, Von Willebrand's disease, and Bernard-Soulier disease may present with joint issues and bleeding tendencies, the unique combination of factors points towards Hemophilia A"
case_001.txt,B,uncle's,1,,,unmapped,"The family history of similar problems could potentially implicate an inherited condition, although no specific diagnosis is mentioned in the uncle's case."
case_001.txt,B,unexplained hemarthrosis,1,,,unmapped,"The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_001.txt,B,vignette,1,,,unmapped,"Based on the presented vignette, the most probable diagnostic hypothesis appears to be Hemophilia A."
case_001.txt,B,von willebrand's disease,1,,,unmapped,"While other disorders such as Marfan syndrome, Ehlers-Danlos disease, Von Willebrand's disease, and Bernard-Soulier disease may present with joint issues and bleeding tendencies, the unique combination of factors points towards Hemophilia A"
case_001.txt,B,x-linked recessive coagulation disorder,1,,,unmapped,"The 18-month-old's unexplained hemarthrosis (joint bleeding) and prolonged APTT (activated partial thromboplastin time) suggest a coagulation disorder, with Hemophilia A being the most common X-linked recessive coagulation disorder, characterized by deficiency in clotting factor VIII."
case_002.txt,A,sleep,2,,,unmapped,"Knowing that we have taken measures of sleep hygiene, we have explored what provokes him not to sleep, and he does not sleep nine hours and still wants to sleep more,...then the less harmful answer is the 2."
case_002.txt,A,half-life,1,304283002,7,mapped,Because it is the one with the shortest half-life and he does not want the lady to fall down the next day.
case_002.txt,A,hours,1,258702006,5,mapped,"Knowing that we have taken measures of sleep hygiene, we have explored what provokes him not to sleep, and he does not sleep nine hours and still wants to sleep more,...then the less harmful answer is the 2."
case_002.txt,A,lady,1,,,unmapped,Because it is the one with the shortest half-life and he does not want the lady to fall down the next day.
case_002.txt,A,measures,1,367346004,3,mapped,"Knowing that we have taken measures of sleep hygiene, we have explored what provokes him not to sleep, and he does not sleep nine hours and still wants to sleep more,...then the less harmful answer is the 2."
case_002.txt,A,sleep hygiene,1,443483005,11,mapped,"Knowing that we have taken measures of sleep hygiene, we have explored what provokes him not to sleep, and he does not sleep nine hours and still wants to sleep more,...then the less harmful answer is the 2."
case_002.txt,B,benzodiazepines,2,223024001,10,mapped,"This suggests a chronic and likely difficult-to-treat insomnia, which makes benzodiazepines with a shorter half-life preferable to avoid sedative rebound and daytime drowsiness."
case_002.txt,B,benzodiazepine,1,16047007,10,mapped,"Among the options, Chlordiazepoxide (4) is a long-acting benzodiazepine and may cause excessive sedation in an elderly patient."
case_002.txt,B,chloracepate,1,,,unmapped,"Diacepam (1) and Lormetacepam (2) are also long-acting benzodiazepines, and Chloracepate (5) is not a known benzodiazepine, so they can be excluded."
case_002.txt,B,chlordiazepoxide,1,82746003,12,mapped,"Among the options, Chlordiazepoxide (4) is a long-acting benzodiazepine and may cause excessive sedation in an elderly patient."
case_002.txt,B,chronic,1,90734009,6,mapped,"This suggests a chronic and likely difficult-to-treat insomnia, which makes benzodiazepines with a shorter half-life preferable to avoid sedative rebound and daytime drowsiness."
case_002.txt,B,daytime drowsiness,1,,,unmapped,"This suggests a chronic and likely difficult-to-treat insomnia, which makes benzodiazepines with a shorter half-life preferable to avoid sedative rebound and daytime drowsiness."
case_002.txt,B,diacepam,1,,,unmapped,"Diacepam (1) and Lormetacepam (2) are also long-acting benzodiazepines, and Chloracepate (5) is not a known benzodiazepine, so they can be excluded."
case_002.txt,B,difficult-to-treat insomnia,1,,,unmapped,"This suggests a chronic and likely difficult-to-treat insomnia, which makes benzodiazepines with a shorter half-life preferable to avoid sedative rebound and daytime drowsiness."
case_002.txt,B,elderly,1,105437002,7,mapped,"Based on the vignette, the patient is an elderly woman presenting with insomnia that has persisted despite sleep hygiene measures."
case_002.txt,B,elderly patient,1,,,unmapped,"Among the options, Chlordiazepoxide (4) is a long-acting benzodiazepine and may cause excessive sedation in an elderly patient."
case_002.txt,B,excessive,1,260378005,5,mapped,"Among the options, Chlordiazepoxide (4) is a long-acting benzodiazepine and may cause excessive sedation in an elderly patient."
case_002.txt,B,half-life,1,304283002,7,mapped,"This suggests a chronic and likely difficult-to-treat insomnia, which makes benzodiazepines with a shorter half-life preferable to avoid sedative rebound and daytime drowsiness."
case_002.txt,B,insomnia,1,,,unmapped,"Based on the vignette, the patient is an elderly woman presenting with insomnia that has persisted despite sleep hygiene measures."
case_002.txt,B,long-acting,1,25305005,19,mapped,"Among the options, Chlordiazepoxide (4) is a long-acting benzodiazepine and may cause excessive sedation in an elderly patient."
case_002.txt,B,long-acting benzodiazepine,1,,,unmapped,"Among the options, Chlordiazepoxide (4) is a long-acting benzodiazepine and may cause excessive sedation in an elderly patient."
case_002.txt,B,lormetacepam,1,,,unmapped,"Diacepam (1) and Lormetacepam (2) are also long-acting benzodiazepines, and Chloracepate (5) is not a known benzodiazepine, so they can be excluded."
case_002.txt,B,measures,1,367346004,3,mapped,"Based on the vignette, the patient is an elderly woman presenting with insomnia that has persisted despite sleep hygiene measures."
case_002.txt,B,options,1,223487003,8,mapped,"Among the options, Chlordiazepoxide (4) is a long-acting benzodiazepine and may cause excessive sedation in an elderly patient."
case_002.txt,B,patient,1,116154003,5,mapped,"Based on the vignette, the patient is an elderly woman presenting with insomnia that has persisted despite sleep hygiene measures."
case_002.txt,B,phenobarbital,1,51073002,12,mapped,Phenobarbital (3) is a bar
case_002.txt,B,sedation,1,72641008,8,mapped,"Among the options, Chlordiazepoxide (4) is a long-acting benzodiazepine and may cause excessive sedation in an elderly patient."
case_002.txt,B,sedative rebound,1,,,unmapped,"This suggests a chronic and likely difficult-to-treat insomnia, which makes benzodiazepines with a shorter half-life preferable to avoid sedative rebound and daytime drowsiness."
case_002.txt,B,shorter,1,248329006,8,mapped,"This suggests a chronic and likely difficult-to-treat insomnia, which makes benzodiazepines with a shorter half-life preferable to avoid sedative rebound and daytime drowsiness."
case_002.txt,B,sleep hygiene,1,443483005,11,mapped,"Based on the vignette, the patient is an elderly woman presenting with insomnia that has persisted despite sleep hygiene measures."
case_002.txt,B,vignette,1,,,unmapped,"Based on the vignette, the patient is an elderly woman presenting with insomnia that has persisted despite sleep hygiene measures."
case_002.txt,B,woman,1,224526002,6,mapped,"Based on the vignette, the patient is an elderly woman presenting with insomnia that has persisted despite sleep hygiene measures."
case_003.txt,A,als,1,739123003,12,mapped,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis."
case_003.txt,A,ct,1,,,unmapped,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis."
case_003.txt,A,diagnosis,1,439401001,3,mapped,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis."
case_003.txt,A,diagnostic suspicion,1,,,unmapped,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis."
case_003.txt,A,diagnostic test,1,,,unmapped,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis."
case_003.txt,A,emg,1,,,unmapped,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis."
case_003.txt,A,imaging tests,1,,,unmapped,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis."
case_003.txt,A,mri,1,113091000,11,mapped,"The answer is 2, an EMG, which would be the diagnostic test to confirm the diagnostic suspicion of ALS, the imaging tests both CT, but especially MRI would help us to rule out, but would not confirm the diagnosis."
case_003.txt,B,motor neuron disease,3,37340000,6,mapped,"The suspected diagnosis is likely motor neuron disease, given the progressive and asymmetric limb weakness with distal predominance and fasciculations."
case_003.txt,B,abnormalities,1,,,unmapped,"The diagnostic test that would confirm this is an Electromyographic (EMG) study, which can help identify the characteristic motor neuron abnormalities in this condition."
case_003.txt,B,affected,1,247591002,6,mapped,"Although a Cerebral Magnetic Resonance Imaging (MRI) might reveal atrophy in affected regions, it is less specific than EMG for motor neuron disease."
case_003.txt,B,assessment,1,122503006,5,mapped,"A Cerebral Computed Tomography (CT) is not typically helpful in this context, and Multimodal evoked potentials are used more for the assessment of brainstem and spinal cord function rather than motor neuron disease."
case_003.txt,B,asymmetric limb weakness,1,,,unmapped,"The suspected diagnosis is likely motor neuron disease, given the progressive and asymmetric limb weakness with distal predominance and fasciculations."
case_003.txt,B,atrophy,1,13331008,6,mapped,"Although a Cerebral Magnetic Resonance Imaging (MRI) might reveal atrophy in affected regions, it is less specific than EMG for motor neuron disease."
case_003.txt,B,brainstem,1,180925009,20,mapped,"A Cerebral Computed Tomography (CT) is not typically helpful in this context, and Multimodal evoked potentials are used more for the assessment of brainstem and spinal cord function rather than motor neuron disease."
case_003.txt,B,cerebral computed tomography,1,,,unmapped,"A Cerebral Computed Tomography (CT) is not typically helpful in this context, and Multimodal evoked potentials are used more for the assessment of brainstem and spinal cord function rather than motor neuron disease."
case_003.txt,B,cerebral magnetic resonance imaging,1,,,unmapped,"Although a Cerebral Magnetic Resonance Imaging (MRI) might reveal atrophy in affected regions, it is less specific than EMG for motor neuron disease."
case_003.txt,B,condition,1,260905004,4,mapped,"The diagnostic test that would confirm this is an Electromyographic (EMG) study, which can help identify the characteristic motor neuron abnormalities in this condition."
case_003.txt,B,context,1,263491009,4,mapped,"A Cerebral Computed Tomography (CT) is not typically helpful in this context, and Multimodal evoked potentials are used more for the assessment of brainstem and spinal cord function rather than motor neuron disease."
case_003.txt,B,ct,1,,,unmapped,"A Cerebral Computed Tomography (CT) is not typically helpful in this context, and Multimodal evoked potentials are used more for the assessment of brainstem and spinal cord function rather than motor neuron disease."
case_003.txt,B,diagnosis,1,439401001,3,mapped,"The suspected diagnosis is likely motor neuron disease, given the progressive and asymmetric limb weakness with distal predominance and fasciculations."
case_003.txt,B,diagnostic test,1,,,unmapped,"The diagnostic test that would confirm this is an Electromyographic (EMG) study, which can help identify the characteristic motor neuron abnormalities in this condition."
case_003.txt,B,distal,1,46053002,6,mapped,"The suspected diagnosis is likely motor neuron disease, given the progressive and asymmetric limb weakness with distal predominance and fasciculations."
case_003.txt,B,electromyographic (emg) study,1,,,unmapped,"The diagnostic test that would confirm this is an Electromyographic (EMG) study, which can help identify the characteristic motor neuron abnormalities in this condition."
case_003.txt,B,emg,1,,,unmapped,"The diagnostic test that would confirm this is an Electromyographic (EMG) study, which can help identify the characteristic motor neuron abnormalities in this condition."
case_003.txt,B,fasciculations,1,,,unmapped,"The suspected diagnosis is likely motor neuron disease, given the progressive and asymmetric limb weakness with distal predominance and fasciculations."
case_003.txt,B,motor neuron,1,31513005,8,mapped,"The suspected diagnosis is likely motor neuron disease, given the progressive and asymmetric limb weakness with distal predominance and fasciculations."
case_003.txt,B,mri,1,113091000,11,mapped,"Although a Cerebral Magnetic Resonance Imaging (MRI) might reveal atrophy in affected regions, it is less specific than EMG for motor neuron disease."
case_003.txt,B,multimodal evoked potentials,1,,,unmapped,"A Cerebral Computed Tomography (CT) is not typically helpful in this context, and Multimodal evoked potentials are used more for the assessment of brainstem and spinal cord function rather than motor neuron disease."
case_003.txt,B,predominance,1,,,unmapped,"The suspected diagnosis is likely motor neuron disease, given the progressive and asymmetric limb weakness with distal predominance and fasciculations."
case_003.txt,B,progressive,1,,,unmapped,"The suspected diagnosis is likely motor neuron disease, given the progressive and asymmetric limb weakness with distal predominance and fasciculations."
case_003.txt,B,regions,1,303678006,14,mapped,"Although a Cerebral Magnetic Resonance Imaging (MRI) might reveal atrophy in affected regions, it is less specific than EMG for motor neuron disease."
case_003.txt,B,spinal cord function,1,,,unmapped,"A Cerebral Computed Tomography (CT) is not typically helpful in this context, and Multimodal evoked potentials are used more for the assessment of brainstem and spinal cord function rather than motor neuron disease."
case_003.txt,B,suspected,1,76053005,8,mapped,"The suspected diagnosis is likely motor neuron disease, given the progressive and asymmetric limb weakness with distal predominance and fasciculations."
case_005.txt,A,lasègue maneuver,2,,,unmapped,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver."
case_005.txt,A,positive,2,,,unmapped,"This maneuver is positive in cases of lumbosciatic pain, since it causes a stretching of the sciatic nerve, therefore the correct answer is number 3."
case_005.txt,A,case,1,398241000,3,mapped,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver."
case_005.txt,A,cases,1,398241000,3,mapped,"This maneuver is positive in cases of lumbosciatic pain, since it causes a stretching of the sciatic nerve, therefore the correct answer is number 3."
case_005.txt,A,correct,1,,,unmapped,"This maneuver is positive in cases of lumbosciatic pain, since it causes a stretching of the sciatic nerve, therefore the correct answer is number 3."
case_005.txt,A,extended,1,288467006,6,mapped,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver."
case_005.txt,A,knee,1,72696002,14,mapped,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver."
case_005.txt,A,lift,1,360304005,9,mapped,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver."
case_005.txt,A,lower limb,1,61685007,10,mapped,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver."
case_005.txt,A,lumbosciatic pain,1,,,unmapped,"This maneuver is positive in cases of lumbosciatic pain, since it causes a stretching of the sciatic nerve, therefore the correct answer is number 3."
case_005.txt,A,maneuver,1,116320007,16,mapped,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver."
case_005.txt,A,options,1,223487003,8,mapped,"The rest of the pathologies do not have a positive Lasègue maneuver, so these options would not be correct."
case_005.txt,A,pathologies,1,,,unmapped,"The rest of the pathologies do not have a positive Lasègue maneuver, so these options would not be correct."
case_005.txt,A,reappearance,1,225447006,9,mapped,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver."
case_005.txt,A,sciatic nerve,1,41519007,19,mapped,"This maneuver is positive in cases of lumbosciatic pain, since it causes a stretching of the sciatic nerve, therefore the correct answer is number 3."
case_005.txt,A,speaking,1,87335007,13,mapped,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver."
case_005.txt,A,stretching,1,122546009,10,mapped,"This maneuver is positive in cases of lumbosciatic pain, since it causes a stretching of the sciatic nerve, therefore the correct answer is number 3."
case_005.txt,A,symptoms,1,,,unmapped,"In this case, when speaking of ""reappearance of the symptoms when we lift the lower limb with the knee extended"" we are describing the Lasègue Maneuver."
case_005.txt,B,symptoms,3,,,unmapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,knee,2,72696002,14,mapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,leg,2,30021000,14,mapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,low back pain,2,,,unmapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,lumbosciatica,2,,,unmapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,meralgia paresthetica,2,85007004,15,mapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,pain,2,,,unmapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,radiated,2,39682000,12,mapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,alternative diagnoses,1,,,unmapped,"However, it's important to consider alternative diagnoses such as radiculopathy (due to her history of metabolic syndrome and the radiating nature of the pain), and sciatica (3- Radiated low back pain / lumbosciatica) should be ruled out, especially if there are associated lower back or leg symptoms."
case_005.txt,B,clinical suspicion,1,,,unmapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,compression,1,71173004,6,mapped,"Meralgia paresthetica involves compression or trauma to the lateral femoral cutaneous nerve, causing symptoms similar to those described."
case_005.txt,B,condition,1,260905004,4,mapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,flexed,1,289359005,19,mapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,history,1,51042001,5,mapped,"However, it's important to consider alternative diagnoses such as radiculopathy (due to her history of metabolic syndrome and the radiating nature of the pain), and sciatica (3- Radiated low back pain / lumbosciatica) should be ruled out, especially if there are associated lower back or leg symptoms."
case_005.txt,B,lateral aspect,1,182299007,15,mapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,lateral femoral cutaneous nerve,1,65490005,18,mapped,"Meralgia paresthetica involves compression or trauma to the lateral femoral cutaneous nerve, causing symptoms similar to those described."
case_005.txt,B,left thigh,1,61396006,15,mapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,localized,1,255471002,7,mapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,metabolic syndrome,1,237602007,14,mapped,"However, it's important to consider alternative diagnoses such as radiculopathy (due to her history of metabolic syndrome and the radiating nature of the pain), and sciatica (3- Radiated low back pain / lumbosciatica) should be ruled out, especially if there are associated lower back or leg symptoms."
case_005.txt,B,nature,1,246425008,4,mapped,"However, it's important to consider alternative diagnoses such as radiculopathy (due to her history of metabolic syndrome and the radiating nature of the pain), and sciatica (3- Radiated low back pain / lumbosciatica) should be ruled out, especially if there are associated lower back or leg symptoms."
case_005.txt,B,presentation,1,246105001,4,mapped,"Based on the presented symptoms, the first clinical suspicion should be Meralgia Paresthetica (3- Radiated low back pain / lumbosciatica), given that the pain is localized to the lateral aspect of the left thigh, knee, and leg, and is relieved when the knee is flexed, which is a typical presentation for this condition."
case_005.txt,B,radiculopathy,1,,,unmapped,"However, it's important to consider alternative diagnoses such as radiculopathy (due to her history of metabolic syndrome and the radiating nature of the pain), and sciatica (3- Radiated low back pain / lumbosciatica) should be ruled out, especially if there are associated lower back or leg symptoms."
